
RankLib1 : 0m6,973s
RankLib2 : 0m6,886s
RankLib3 : 0m6,879s
RankLib4 : 0m6,980s
RankLib5 : 0m6,988s
RankLib6 : 0m6,928s
RankLib7 : 0m6,951s
RankLib8 : 0m6,994s
RankLib9 : 0m6,963s
RankLib10 : 0m6,806s
RankLib11 : 0m12,910s
RankLib12 : 0m13,175s
RankLib13 : 0m13,101s
RankLib14 : 0m12,826s
RankLib15 : 0m12,801s
RankLib16 : 0m13,085s
RankLib17 : 0m13,171s
RankLib18 : 0m13,286s
RankLib19 : 0m13,303s
RankLib20 : 0m13,063s
RankLib21 : 0m19,172s
RankLib22 : 0m18,990s
RankLib23 : 0m19,223s
RankLib24 : 0m19,113s
RankLib25 : 0m19,141s
RankLib26 : 0m19,245s
RankLib27 : 0m19,211s
RankLib28 : 0m19,327s
RankLib29 : 0m19,367s
RankLib30 : 0m19,181s
RankLib31 : 0m24,504s
RankLib32 : 0m24,468s
RankLib33 : 0m24,471s
RankLib34 : 0m25,098s
RankLib35 : 0m24,382s
RankLib36 : 0m25,298s
RankLib37 : 0m25,006s
RankLib38 : 0m25,317s
RankLib39 : 0m24,559s
RankLib40 : 0m24,828s
