
ltr4l1 : 0m3,435s
ltr4l2 : 0m3,717s
ltr4l3 : 0m3,425s
ltr4l4 : 0m3,712s
ltr4l5 : 0m3,373s
ltr4l6 : 0m3,667s
ltr4l7 : 0m3,430s
ltr4l8 : 0m3,728s
ltr4l9 : 0m3,496s
ltr4l10 : 0m3,704s
ltr4l11 : 0m3,403s
ltr4l12 : 0m3,663s
ltr4l13 : 0m13,819s
ltr4l14 : 0m15,422s
ltr4l15 : 0m13,855s
ltr4l16 : 0m15,364s
ltr4l17 : 0m13,787s
ltr4l18 : 0m15,351s
ltr4l19 : 0m13,856s
ltr4l20 : 0m15,339s
ltr4l21 : 0m13,883s
ltr4l22 : 0m15,276s
ltr4l23 : 0m13,902s
ltr4l24 : 0m15,372s
ltr4l25 : 0m26,609s
ltr4l26 : 0m29,812s
ltr4l27 : 0m26,649s
ltr4l28 : 0m29,755s
ltr4l29 : 0m26,605s
ltr4l30 : 0m30,057s
ltr4l31 : 0m26,917s
ltr4l32 : 0m29,761s
ltr4l33 : 0m26,902s
ltr4l34 : 0m29,853s
ltr4l35 : 0m26,610s
ltr4l36 : 0m29,696s
ltr4l37 : 0m22,518s
ltr4l38 : 1m12,919s
ltr4l39 : 0m26,630s
ltr4l40 : 1m34,079s
ltr4l41 : 0m24,195s
ltr4l42 : 1m21,443s
ltr4l43 : 0m21,890s
ltr4l44 : 1m9,153s
ltr4l45 : 0m26,935s
ltr4l46 : 1m30,347s
ltr4l47 : 0m24,214s
ltr4l48 : 1m21,671s
ltr4l49 : 0m22,477s
ltr4l50 : 1m17,976s
ltr4l51 : 0m26,249s
ltr4l52 : 1m28,808s
ltr4l53 : 0m24,820s
ltr4l54 : 1m21,358s
ltr4l55 : 0m22,272s
ltr4l56 : 1m11,504s
ltr4l57 : 0m26,627s
ltr4l58 : 1m30,087s
ltr4l59 : 0m23,697s
ltr4l60 : 1m23,614s
ltr4l61 : 0m22,566s
ltr4l62 : 1m13,386s
ltr4l63 : 0m26,219s
ltr4l64 : 1m38,781s
ltr4l65 : 0m24,583s
ltr4l66 : 1m23,600s
ltr4l67 : 0m22,092s
ltr4l68 : 1m15,226s
ltr4l69 : 0m26,497s
ltr4l70 : 1m28,961s
ltr4l71 : 0m24,163s
ltr4l72 : 1m19,726s
ltr4l73 : 0m22,566s
ltr4l74 : 1m12,591s
ltr4l75 : 0m26,252s
ltr4l76 : 1m34,918s
ltr4l77 : 0m25,705s
ltr4l78 : 1m25,152s
ltr4l79 : 0m22,405s
ltr4l80 : 1m8,122s
ltr4l81 : 0m27,015s
ltr4l82 : 1m25,360s
ltr4l83 : 0m25,835s
ltr4l84 : 1m27,536s
ltr4l85 : 0m22,549s
ltr4l86 : 1m13,535s
ltr4l87 : 0m26,246s
ltr4l88 : 1m27,884s
ltr4l89 : 0m25,635s
