
RankLib1 : 0m7,319s
RankLib2 : 0m7,514s
RankLib3 : 0m7,371s
RankLib4 : 0m7,242s
RankLib5 : 0m7,280s
RankLib6 : 0m7,258s
RankLib7 : 0m7,313s
RankLib8 : 0m7,320s
RankLib9 : 0m7,333s
RankLib10 : 0m7,280s
RankLib11 : 0m14,134s
RankLib12 : 0m13,776s
RankLib13 : 0m13,699s
RankLib14 : 0m13,609s
RankLib15 : 0m14,001s
RankLib16 : 0m14,020s
RankLib17 : 0m13,975s
RankLib18 : 0m14,083s
RankLib19 : 0m14,170s
RankLib20 : 0m13,965s
RankLib21 : 0m20,500s
RankLib22 : 0m19,802s
RankLib23 : 0m20,559s
RankLib24 : 0m19,833s
RankLib25 : 0m20,129s
RankLib26 : 0m20,366s
RankLib27 : 0m20,563s
RankLib28 : 0m20,317s
RankLib29 : 0m20,074s
RankLib30 : 0m20,275s
RankLib31 : 0m25,917s
RankLib32 : 0m26,019s
RankLib33 : 0m26,061s
RankLib34 : 0m25,826s
RankLib35 : 0m26,367s
RankLib36 : 0m26,376s
RankLib37 : 0m26,938s
RankLib38 : 0m26,276s
RankLib39 : 0m26,922s
RankLib40 : 0m27,096s
