
RankLib1 : 0m29,446s
RankLib2 : 0m29,775s
RankLib3 : 0m29,876s
RankLib4 : 0m29,518s
RankLib5 : 0m29,310s
RankLib6 : 0m29,280s
RankLib7 : 0m29,839s
RankLib8 : 0m29,666s
RankLib9 : 0m29,603s
RankLib10 : 0m29,430s
RankLib11 : 0m54,580s
RankLib12 : 0m55,599s
RankLib13 : 0m55,175s
RankLib14 : 0m55,873s
RankLib15 : 0m53,900s
RankLib16 : 0m56,053s
RankLib17 : 0m54,979s
RankLib18 : 0m55,380s
RankLib19 : 0m55,240s
RankLib20 : 0m55,031s
RankLib21 : 1m21,626s
RankLib22 : 1m24,049s
RankLib23 : 1m25,567s
RankLib24 : 1m24,087s
RankLib25 : 1m22,793s
RankLib26 : 1m22,840s
RankLib27 : 1m24,051s
RankLib28 : 1m23,225s
RankLib29 : 1m23,504s
RankLib30 : 1m22,864s
RankLib31 : 1m48,964s
RankLib32 : 1m46,722s
RankLib33 : 1m47,159s
RankLib34 : 1m46,558s
RankLib35 : 1m50,929s
RankLib36 : 1m47,775s
RankLib37 : 1m51,012s
RankLib38 : 1m48,228s
RankLib39 : 1m50,960s
RankLib40 : 1m48,149s
