
ltr4l1 : 0m12,591s
ltr4l2 : 0m14,130s
ltr4l3 : 0m12,753s
ltr4l4 : 0m14,038s
ltr4l5 : 0m12,628s
ltr4l6 : 0m14,034s
ltr4l7 : 0m12,621s
ltr4l8 : 0m13,983s
ltr4l9 : 0m12,721s
ltr4l10 : 0m13,953s
ltr4l11 : 0m12,567s
ltr4l12 : 0m13,953s
ltr4l13 : 0m51,464s
ltr4l14 : 0m58,485s
ltr4l15 : 0m52,084s
ltr4l16 : 0m58,823s
ltr4l17 : 0m51,587s
ltr4l18 : 0m58,562s
ltr4l19 : 0m51,944s
ltr4l20 : 0m59,070s
ltr4l21 : 0m52,371s
ltr4l22 : 0m58,315s
ltr4l23 : 0m52,089s
ltr4l24 : 0m58,162s
ltr4l25 : 1m14,006s
ltr4l26 : 4m28,093s
ltr4l27 : 1m33,617s
ltr4l28 : 7m40,595s
ltr4l29 : 1m19,503s
ltr4l30 : 4m46,148s
ltr4l31 : 1m11,644s
ltr4l32 : 3m59,873s
ltr4l33 : 1m33,351s
ltr4l34 : 5m19,715s
ltr4l35 : 1m21,324s
ltr4l36 : 4m38,915s
ltr4l37 : 1m14,055s
ltr4l38 : 4m27,345s
ltr4l39 : 1m32,353s
ltr4l40 : 8m54,602s
ltr4l41 : 1m20,618s
ltr4l42 : 4m32,915s
ltr4l43 : 1m12,205s
ltr4l44 : 3m57,060s
ltr4l45 : 1m33,684s
ltr4l46 : 5m25,613s
ltr4l47 : 1m19,363s
ltr4l48 : 4m45,905s
ltr4l49 : 1m13,871s
ltr4l50 : 4m29,381s
ltr4l51 : 1m32,192s
ltr4l52 : 7m34,081s
ltr4l53 : 1m20,294s
ltr4l54 : 4m46,565s
ltr4l55 : 1m11,499s
ltr4l56 : 4m0,331s
ltr4l57 : 1m33,472s
ltr4l58 : 5m17,903s
ltr4l59 : 1m21,274s
ltr4l60 : 4m46,820s
ltr4l61 : 1m13,863s
ltr4l62 : 4m24,094s
ltr4l63 : 1m32,335s
ltr4l64 : 5m19,892s
ltr4l65 : 1m11,393s
ltr4l66 : 4m53,996s
ltr4l67 : 1m15,220s
ltr4l68 : 3m51,319s
ltr4l69 : 1m29,256s
ltr4l70 : 5m18,251s
ltr4l71 : 1m13,652s
ltr4l72 : 4m58,077s
ltr4l73 : 1m13,902s
ltr4l74 : 4m23,517s
ltr4l75 : 1m32,134s
ltr4l76 : 5m25,270s
ltr4l77 : 1m22,874s
ltr4l78 : 4m51,387s
ltr4l79 : 1m14,458s
ltr4l80 : 3m54,255s
ltr4l81 : 1m33,706s
ltr4l82 : 5m8,930s
ltr4l83 : 1m25,217s
ltr4l84 : 4m54,247s
ltr4l85 : 1m15,008s
ltr4l86 : 4m26,009s
ltr4l87 : 1m32,238s
ltr4l88 : 5m22,009s
ltr4l89 : 1m22,763s
ltr4l90 : 4m51,833s
ltr4l91 : 1m15,165s
ltr4l92 : 3m47,702s
ltr4l93 : 1m33,617s
ltr4l94 : 5m10,146s
ltr4l95 : 1m13,550s
ltr4l96 : 4m52,069s
ltr4l97 : 6m6,426s
ltr4l98 : 21m44,493s
ltr4l99 : 14m26,849s
ltr4l100 : 64m48,019s
ltr4l101 : 6m34,835s
ltr4l102 : 23m27,436s
ltr4l103 : 5m24,254s
ltr4l104 : 18m9,493s
ltr4l105 : 7m43,478s
ltr4l106 : 26m5,244s
ltr4l107 : 6m11,826s
ltr4l108 : 20m56,011s
ltr4l109 : 6m1,203s
ltr4l110 : 21m34,581s
ltr4l111 : 9m15,552s
ltr4l112 : 72m6,045s
ltr4l113 : 6m43,103s
ltr4l114 : 23m38,975s
ltr4l115 : 5m25,808s
ltr4l116 : 18m14,113s
ltr4l117 : 7m38,054s
ltr4l118 : 26m53,761s
ltr4l119 : 6m11,114s
ltr4l120 : 22m12,992s
ltr4l121 : 6m1,804s
ltr4l122 : 21m24,959s
ltr4l123 : 14m20,063s
ltr4l124 : 69m32,327s
ltr4l125 : 6m41,702s
ltr4l126 : 23m31,322s
ltr4l127 : 5m32,618s
ltr4l128 : 17m48,961s
ltr4l129 : 7m38,626s
ltr4l130 : 26m7,034s
ltr4l131 : 6m18,645s
ltr4l132 : 20m50,983s
ltr4l133 : 6m1,484s
ltr4l134 : 21m28,535s
ltr4l135 : 7m39,059s
ltr4l136 : 26m11,834s
ltr4l137 : 6m50,194s
ltr4l138 : 23m42,535s
ltr4l139 : 6m2,508s
ltr4l140 : 20m27,079s
ltr4l141 : 6m32,744s
ltr4l142 : 25m52,158s
ltr4l143 : 7m3,375s
ltr4l144 : 20m26,250s
ltr4l145 : 6m2,659s
ltr4l146 : 21m33,925s
ltr4l147 : 7m37,479s
ltr4l148 : 26m8,465s
ltr4l149 : 5m52,006s
ltr4l150 : 23m35,193s
ltr4l151 : 6m9,047s
ltr4l152 : 20m24,823s
ltr4l153 : 6m49,900s
ltr4l154 : 25m23,804s
ltr4l155 : 7m4,828s
ltr4l156 : 20m43,000s
ltr4l157 : 6m2,155s
ltr4l158 : 21m23,244s
ltr4l159 : 7m38,857s
ltr4l160 : 26m18,065s
ltr4l161 : 5m53,070s
ltr4l162 : 23m51,407s
ltr4l163 : 6m13,028s
ltr4l164 : 20m30,876s
ltr4l165 : 6m25,036s
ltr4l166 : 26m19,077s
ltr4l167 : 6m5,566s
ltr4l168 : 20m41,570s
