epochs,learning_rate,momemtum,activation,inner_act,number_layers,number_neurons,dropout,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
300,0.0025,0.5,linear,relu,2,100,0.8,0.45982,0.43954000000000004,0.42916,0.41984000000000005,0.41092000000000006,0.40380000000000005,0.39846,0.3921,0.38684,0.38158,0.412206,0.0005606860840000003,0.39771999999999996,0.39554,0.4,0.40446,0.40878,0.41424000000000005,0.42004,0.42604,0.43186,0.43754,0.413622,0.00019732531600000005
400,0.0025,0.5,linear,relu,1,100,0.65,0.47952000000000006,0.45854000000000006,0.4415800000000001,0.43318,0.42498,0.41484,0.40806000000000003,0.40098,0.39432,0.38862,0.424462,0.0007668193160000011,0.41685999999999995,0.41482,0.4171600000000001,0.42350000000000004,0.42869999999999997,0.4335800000000001,0.4386,0.4444199999999999,0.44963999999999993,0.45524,0.43225199999999997,0.00018786825599999925
400,0.0025,0.5,linear,relu,1,100,0.8,0.46948,0.45144,0.43754,0.42712000000000006,0.41666,0.40903999999999996,0.40187999999999996,0.39554,0.38896000000000003,0.38402000000000003,0.418168,0.0007077472960000001,0.40526,0.40808,0.41215999999999997,0.4166,0.42085999999999996,0.42707999999999996,0.43154000000000003,0.43699999999999994,0.44206,0.44816,0.42488000000000004,0.00019469023999999996
400,0.0025,0.5,linear,relu,2,100,0.65,0.47417999999999993,0.45402000000000003,0.44188,0.43174,0.42210000000000003,0.41353999999999996,0.40508,0.39698,0.39018,0.3843599999999999,0.42140600000000006,0.000764773684,0.40934,0.41276,0.41772,0.4225200000000001,0.42711999999999994,0.43279999999999996,0.43701999999999996,0.44148000000000004,0.44593999999999995,0.45133999999999996,0.42980399999999996,0.0001837102239999996
400,0.0025,0.5,linear,relu,2,100,0.8,0.46612,0.4461399999999999,0.4354,0.42406,0.4159,0.40915999999999997,0.40332000000000007,0.39705999999999997,0.39093999999999995,0.38556,0.417366,0.0005963996839999995,0.40346000000000004,0.4023,0.40712000000000004,0.4102799999999999,0.41524,0.42114,0.42728,0.43292,0.43872,0.44426,0.42027200000000003,0.00020293625599999992
500,0.0025,0.5,linear,relu,1,100,0.65,0.47635999999999995,0.46208,0.44722,0.43684,0.4277,0.41874,0.41196,0.40469999999999995,0.39716,0.39128,0.427404,0.0007129611039999996,0.41437999999999997,0.41882,0.4234,0.42813999999999997,0.43313999999999997,0.4384,0.44383999999999996,0.44916,0.45376000000000005,0.45899999999999996,0.4362039999999999,0.0002075708640000001
500,0.0025,0.5,linear,relu,1,100,0.8,0.47124,0.45242000000000004,0.44071999999999995,0.43018,0.42018000000000005,0.4126,0.40528000000000003,0.3973,0.39117999999999997,0.38558000000000003,0.42066800000000004,0.0007007172159999998,0.40650000000000003,0.40991999999999995,0.41558,0.41946000000000006,0.4244,0.43027999999999994,0.43484,0.4394,0.44504,0.45054,0.42759600000000003,0.0002008009439999999
500,0.0025,0.5,linear,relu,2,100,0.65,0.4732,0.45716,0.44353999999999993,0.43436,0.42463999999999996,0.41457999999999995,0.40729999999999994,0.39994,0.39338,0.38704,0.42351399999999995,0.0007257550440000002,0.41018,0.41581999999999997,0.42044,0.42528000000000005,0.43004,0.43478000000000006,0.43972,0.44455999999999996,0.44959999999999994,0.45504,0.432546,0.00019832392399999986
500,0.0025,0.5,linear,relu,2,100,0.8,0.47442,0.45162,0.44078,0.4272600000000001,0.4168,0.41036,0.40469999999999995,0.39844,0.39268,0.38805999999999996,0.420512,0.0007011894560000007,0.40976000000000007,0.40746000000000004,0.41194,0.4142199999999999,0.4187,0.42522000000000004,0.4309200000000001,0.43667999999999996,0.44231999999999994,0.44826,0.424548,0.00018768553599999958
600,0.0025,0.5,linear,relu,1,100,0.65,0.4817,0.46416,0.45024,0.4412,0.43174,0.42318,0.41498,0.40854000000000007,0.40042,0.39355999999999997,0.430972,0.0007303967360000001,0.41981999999999997,0.42223999999999995,0.42696000000000006,0.43254000000000004,0.43757999999999997,0.44401999999999997,0.44841999999999993,0.45413999999999993,0.45855999999999997,0.46358000000000005,0.440786,0.0002135508039999999
600,0.0025,0.5,linear,relu,1,100,0.8,0.47104,0.45380000000000004,0.4405,0.43039999999999995,0.42224000000000006,0.41464,0.40721999999999997,0.3994000000000001,0.39243999999999996,0.38666,0.42183399999999993,0.0006734840840000002,0.4072,0.41238,0.41662,0.42051999999999995,0.42618,0.43224,0.43728,0.44209999999999994,0.4469,0.45244,0.42938599999999993,0.00021036112399999994
600,0.0025,0.5,linear,relu,2,100,0.65,0.47734000000000004,0.46052,0.44543999999999995,0.43666,0.42747999999999997,0.4182,0.41007999999999994,0.40327999999999997,0.39608,0.3901,0.426518,0.0007332983560000005,0.41326,0.41844000000000003,0.42262000000000005,0.42822000000000005,0.43323999999999996,0.43834,0.44327999999999995,0.44855999999999996,0.45333999999999997,0.4589,0.43582,0.0002113620799999992
600,0.0025,0.5,linear,relu,2,100,0.8,0.47085999999999995,0.45176,0.4393599999999999,0.42821999999999993,0.4206199999999999,0.4135,0.4064,0.39988,0.39398,0.38917999999999997,0.421376,0.0006278203039999993,0.40624000000000005,0.40558000000000005,0.41048,0.41491999999999996,0.42024000000000006,0.42654,0.4319,0.4379799999999999,0.44320000000000004,0.44916,0.424624,0.00021961622399999957
