epochs,learning_rate,momentum,output function,hidden function,nb hidden layers,nb neurons,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
100,0.075,0.3,Identity,,,,0.39076000000000005,0.38308,0.37618,0.36828,0.3597,0.3559,0.35296,0.3499,0.34643999999999997,0.34323999999999993,0.36264399999999997,0.00023725502400000063,0.32531999999999994,0.33486000000000005,0.34019999999999995,0.34588,0.35058,0.3566,0.3624,0.36838000000000004,0.374,0.38001999999999997,0.35382399999999997,0.0002817787840000002
100,0.075,0.3,Sigmoid,,,,0.13357999999999998,0.18942,0.21589999999999998,0.2286,0.24123999999999998,0.24889999999999998,0.25328,0.25637999999999994,0.25926,0.26176000000000005,0.22883199999999998,0.0014716936160000002,0.10874000000000002,0.15756,0.17822000000000002,0.19078,0.20461999999999997,0.21624000000000004,0.22476,0.23346,0.24173999999999998,0.24954,0.20056599999999997,0.0016899864839999997
500,0.001,0.01,Identity,,,,0.46751999999999994,0.45013999999999993,0.43660000000000004,0.42352,0.41445999999999994,0.40576,0.39855999999999997,0.3912,0.3851,0.38036,0.415322,0.0007547605959999993,0.40171999999999997,0.406,0.40936000000000006,0.41198000000000007,0.41683999999999993,0.42200000000000004,0.42724,0.4323,0.4368,0.44316000000000005,0.42074,0.00017385312000000024
500,0.001,0.01,Sigmoid,,,,0.13357999999999998,0.18942,0.21589999999999998,0.2286,0.24123999999999998,0.24889999999999998,0.25328,0.25637999999999994,0.25926,0.26176000000000005,0.22883199999999998,0.0014716936160000002,0.10874000000000002,0.15756,0.17822000000000002,0.19078,0.20461999999999997,0.21624000000000004,0.22476,0.23346,0.24173999999999998,0.24954,0.20056599999999997,0.0016899864839999997
500,0.001,0.1,Identity,,,,0.46751999999999994,0.45013999999999993,0.43660000000000004,0.42352,0.41445999999999994,0.40576,0.39855999999999997,0.3912,0.3851,0.38036,0.415322,0.0007547605959999993,0.40171999999999997,0.406,0.40936000000000006,0.41198000000000007,0.41683999999999993,0.42200000000000004,0.42724,0.4323,0.4368,0.44316000000000005,0.42074,0.00017385312000000024
500,0.001,0.1,Sigmoid,,,,0.13357999999999998,0.18942,0.21589999999999998,0.2286,0.24123999999999998,0.24889999999999998,0.25328,0.25637999999999994,0.25926,0.26176000000000005,0.22883199999999998,0.0014716936160000002,0.10874000000000002,0.15756,0.17822000000000002,0.19078,0.20461999999999997,0.21624000000000004,0.22476,0.23346,0.24173999999999998,0.24954,0.20056599999999997,0.0016899864839999997
500,0.001,0.3,Identity,,,,0.46751999999999994,0.45013999999999993,0.43660000000000004,0.42352,0.41445999999999994,0.40576,0.39855999999999997,0.3912,0.3851,0.3803,0.4153160000000001,0.0007551804639999991,0.40171999999999997,0.406,0.40936000000000006,0.41198000000000007,0.41683999999999993,0.42200000000000004,0.42724,0.4323,0.4368,0.44312000000000007,0.42073599999999994,0.0001736739040000003
500,0.001,0.3,Sigmoid,,,,0.13357999999999998,0.18942,0.21589999999999998,0.2286,0.24123999999999998,0.24889999999999998,0.25328,0.25637999999999994,0.25926,0.26176000000000005,0.22883199999999998,0.0014716936160000002,0.10874000000000002,0.15756,0.17822000000000002,0.19078,0.20461999999999997,0.21624000000000004,0.22476,0.23346,0.24173999999999998,0.24954,0.20056599999999997,0.0016899864839999997
500,0.075,0.01,Identity,,,,0.39076000000000005,0.38308,0.37618,0.36828,0.3597,0.3559,0.35296,0.3499,0.34643999999999997,0.34323999999999993,0.36264399999999997,0.00023725502400000063,0.32531999999999994,0.33486000000000005,0.34019999999999995,0.34588,0.35058,0.3566,0.3624,0.36838000000000004,0.374,0.38001999999999997,0.35382399999999997,0.0002817787840000002
500,0.075,0.01,Sigmoid,,,,0.13357999999999998,0.18942,0.21589999999999998,0.2286,0.24123999999999998,0.24889999999999998,0.25328,0.25637999999999994,0.25926,0.26176000000000005,0.22883199999999998,0.0014716936160000002,0.10874000000000002,0.15756,0.17822000000000002,0.19078,0.20461999999999997,0.21624000000000004,0.22476,0.23346,0.24173999999999998,0.24954,0.20056599999999997,0.0016899864839999997
500,0.075,0.1,Identity,,,,0.36362,0.35978,0.35081999999999997,0.34497999999999995,0.34024,0.33612000000000003,0.3339,0.33192,0.32972,0.32738,0.341848,0.00014394257599999985,0.30485999999999996,0.31526,0.32043999999999995,0.32618,0.33188000000000006,0.33774000000000004,0.3438,0.34972,0.35561999999999994,0.36166,0.33471599999999996,0.0003034367039999999
500,0.075,0.1,Sigmoid,,,,0.13416,0.18912,0.21412,0.22713999999999998,0.23970000000000002,0.24691999999999997,0.25118,0.25446,0.25742000000000004,0.26004,0.227426,0.0014132097640000003,0.10894000000000001,0.15716000000000002,0.17688,0.18938,0.20293999999999998,0.21420000000000003,0.22233999999999998,0.23112,0.23942000000000002,0.24708000000000002,0.19894599999999998,0.001621167524
500,0.075,0.3,Identity,,,,0.39076000000000005,0.38308,0.37618,0.36828,0.3597,0.3559,0.35296,0.3499,0.34643999999999997,0.34323999999999993,0.36264399999999997,0.00023725502400000063,0.32531999999999994,0.33486000000000005,0.34019999999999995,0.34588,0.35058,0.3566,0.3624,0.36838000000000004,0.374,0.38001999999999997,0.35382399999999997,0.0002817787840000002
500,0.075,0.3,Sigmoid,,,,0.13357999999999998,0.18942,0.21589999999999998,0.2286,0.24123999999999998,0.24889999999999998,0.25328,0.25637999999999994,0.25926,0.26176000000000005,0.22883199999999998,0.0014716936160000002,0.10874000000000002,0.15756,0.17822000000000002,0.19078,0.20461999999999997,0.21624000000000004,0.22476,0.23346,0.24173999999999998,0.24954,0.20056599999999997,0.0016899864839999997
