epochs,learning_rate,momemtum,activation,inner_act,number_layers,number_neurons,dropout,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
500,0.001,0.3,sigmoid,,,,,0.4779,0.4395,0.4258,0.4145,0.4059,0.3977,0.3885,0.382,0.375,0.3699,0.4076700000000001,0.0009943620999999998,0.4071,0.3938,0.399,0.4021,0.4033,0.4089,0.4124,0.4191,0.4239,0.4306,0.41002,0.00012064959999999986
500,0.001,0.3,linear,,,,,0.4808,0.4484,0.4415,0.4307,0.4189,0.41,0.4058,0.3975,0.3887,0.3826,0.42049000000000003,0.0008265089000000003,0.4159,0.4041,0.4184,0.4214,0.4234,0.4282,0.4363,0.4417,0.446,0.4506,0.42860000000000004,0.00019622799999999998
500,0.001,0.5,sigmoid,,,,,0.4395,0.4307,0.4267,0.4145,0.4065,0.4027,0.3953,0.389,0.3822,0.3785,0.40656,0.00039672640000000027,0.3884,0.3899,0.3994,0.404,0.4072,0.4149,0.4207,0.4267,0.4317,0.4387,0.41215999999999997,0.00026920839999999965
500,0.001,0.5,linear,,,,,0.4543,0.4499,0.4405,0.427,0.4171,0.411,0.3999,0.3934,0.3854,0.3805,0.4159,0.0006330039999999997,0.3953,0.4049,0.4131,0.4156,0.4191,0.4264,0.4299,0.4367,0.4402,0.4465,0.42277000000000003,0.0002357301
500,0.075,0.3,sigmoid,,,,,0.469,0.4469,0.4454,0.4292,0.4201,0.41,0.4012,0.3956,0.3884,0.3835,0.4189299999999999,0.0007222580999999997,0.4081,0.4039,0.418,0.4176,0.4205,0.4259,0.4329,0.4399,0.4443,0.4503,0.4261400000000001,0.00021396439999999987
500,0.075,0.3,linear,,,,,0.4454,0.4469,0.4277,0.413,0.3947,0.3899,0.3835,0.3739,0.371,0.3643,0.40103,0.0008385501000000002,0.3786,0.3987,0.3982,0.4008,0.398,0.406,0.4129,0.4178,0.4254,0.4296,0.40659999999999996,0.00020724999999999991
500,0.075,0.5,sigmoid,,,,,0.472,0.4484,0.4464,0.4292,0.4165,0.4086,0.4012,0.3956,0.3871,0.3835,0.41884999999999994,0.0007784605,0.411,0.4054,0.42,0.4186,0.4196,0.4256,0.4324,0.4399,0.4437,0.4504,0.42666000000000004,0.00019197040000000027
500,0.075,0.5,linear,,,,,0.4602,0.4425,0.4238,0.4086,0.3965,0.3879,0.378,0.3717,0.3655,0.3617,0.39964,0.0010170084,0.3854,0.3968,0.3944,0.3984,0.3992,0.4049,0.409,0.4153,0.4198,0.4261,0.40493000000000007,0.00014272609999999993
1000,0.001,0.3,sigmoid,,,,,0.4661,0.4528,0.4346,0.424,0.4177,0.4076,0.3982,0.3905,0.3868,0.3779,0.41562,0.0007617555999999999,0.4051,0.4056,0.4097,0.4111,0.4153,0.4207,0.4266,0.4312,0.4384,0.4418,0.42055,0.0001617025
1000,0.001,0.3,linear,,,,,0.472,0.4499,0.4415,0.4322,0.4206,0.4115,0.4033,0.3968,0.3894,0.382,0.41992,0.0007479135999999998,0.409,0.4056,0.4177,0.423,0.4252,0.4298,0.4356,0.4419,0.4468,0.4511,0.42857,0.00021397009999999994
