epochs,learning_rate,momentum,output function,hidden function,nb hidden layers,nb neurons,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
100,0.001,0.01,Identity,,,,0.472,0.4405,0.429,0.4194,0.4114,0.399,0.3937,0.3861,0.381,0.3746,0.41067,0.0008273140999999998,0.4025,0.3927,0.4,0.4045,0.4101,0.4136,0.4187,0.4234,0.429,0.4341,0.41286000000000006,0.0001614023999999998
100,0.001,0.01,Sigmoid,,,,0.1308,0.1858,0.2137,0.2242,0.2376,0.2434,0.2482,0.2498,0.2519,0.2539,0.22393000000000002,0.0013736581,0.1118,0.1557,0.1772,0.1896,0.2035,0.214,0.2219,0.2297,0.2376,0.245,0.19860000000000003,0.001535884
100,0.001,0.1,Identity,,,,0.472,0.4405,0.4297,0.4191,0.411,0.399,0.3939,0.3858,0.3812,0.3744,0.4106599999999999,0.0008304444,0.4025,0.3927,0.4004,0.4045,0.41,0.4135,0.4187,0.4233,0.4291,0.4341,0.41288,0.0001605455999999999
100,0.001,0.1,Sigmoid,,,,0.1308,0.1858,0.2137,0.2242,0.2376,0.2434,0.2482,0.2498,0.2519,0.2539,0.22393000000000002,0.0013736581,0.1118,0.1557,0.1772,0.1896,0.2035,0.214,0.2219,0.2297,0.2376,0.245,0.19860000000000003,0.001535884
100,0.001,0.3,Identity,,,,0.472,0.4405,0.4297,0.4191,0.4112,0.3992,0.3937,0.3862,0.381,0.3744,0.41069999999999995,0.0008298819999999997,0.4025,0.3927,0.4004,0.4046,0.41,0.4137,0.4187,0.4235,0.429,0.4341,0.41292,0.00016050359999999992
100,0.001,0.3,Sigmoid,,,,0.1308,0.1858,0.2137,0.2242,0.2376,0.2434,0.2482,0.2498,0.2519,0.2539,0.22393000000000002,0.0013736581,0.1118,0.1557,0.1772,0.1896,0.2035,0.214,0.2219,0.2297,0.2376,0.245,0.19860000000000003,0.001535884
100,0.075,0.01,Identity,,,,0.3589,0.3446,0.3428,0.337,0.3331,0.3296,0.3302,0.3292,0.3273,0.3247,0.33574000000000004,9.775640000000009e-05,0.2868,0.2895,0.2975,0.3022,0.3077,0.3137,0.3199,0.3279,0.3347,0.3411,0.31210000000000004,0.00031461800000000034
100,0.075,0.01,Sigmoid,,,,0.1308,0.1858,0.2137,0.2242,0.2376,0.2434,0.2482,0.2498,0.2519,0.2539,0.22393000000000002,0.0013736581,0.1118,0.1557,0.1772,0.1896,0.2035,0.214,0.2219,0.2297,0.2376,0.245,0.19860000000000003,0.001535884
100,0.075,0.1,Identity,,,,0.3589,0.3446,0.3428,0.337,0.3331,0.3296,0.3302,0.3292,0.3273,0.3247,0.33574000000000004,9.775640000000009e-05,0.2868,0.2895,0.2975,0.3022,0.3077,0.3137,0.3199,0.3279,0.3347,0.3411,0.31210000000000004,0.00031461800000000034
100,0.075,0.1,Sigmoid,,,,0.1308,0.1858,0.2137,0.2242,0.2376,0.2434,0.2482,0.2498,0.2519,0.2539,0.22393000000000002,0.0013736581,0.1118,0.1557,0.1772,0.1896,0.2035,0.214,0.2219,0.2297,0.2376,0.245,0.19860000000000003,0.001535884
