epochs,learning_rate,momentum,output function,hidden function,nb hidden layers,nb neurons,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
500,0.075,0.1,Identity,,,,0.4458,0.4344,0.4224,0.4125,0.4008,0.394,0.3866,0.3809,0.376,0.3722,0.40256,0.0005803323999999998,0.378,0.389,0.3902,0.3943,0.3968,0.4026,0.4074,0.412,0.4169,0.4222,0.40093999999999996,0.0001718904
500,0.075,0.1,Sigmoid,,,,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
500,0.075,0.3,Identity,,,,0.4566,0.4374,0.4264,0.4152,0.4036,0.3979,0.3907,0.3852,0.3779,0.375,0.4065899999999999,0.0006532349000000001,0.3843,0.3919,0.394,0.3961,0.3991,0.4053,0.4111,0.4158,0.4189,0.4253,0.40418000000000004,0.00015876360000000007
500,0.075,0.3,Sigmoid,,,,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.01,Identity,Identity,1.0,15.0,0.2456,0.2559,0.2525,0.2517,0.2544,0.2576,0.2557,0.2563,0.2563,0.2572,0.25432,1.1751599999999954e-05,0.1917,0.2065,0.2092,0.2128,0.219,0.2269,0.2306,0.2358,0.2408,0.2462,0.22195,0.00026432849999999993
100,0.001,0.01,Identity,Identity,1.0,46.0,0.2051,0.2278,0.2318,0.2327,0.2339,0.2329,0.2332,0.2334,0.2337,0.2344,0.22988999999999998,7.137289999999995e-05,0.1716,0.1969,0.2028,0.2079,0.2131,0.2176,0.2221,0.2261,0.2304,0.2354,0.21239,0.0003179608999999999
100,0.001,0.01,Identity,Sigmoid,1.0,15.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.01,Identity,Sigmoid,1.0,46.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.01,Identity,ReLu,1.0,15.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.01,Identity,ReLu,1.0,46.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.01,Sigmoid,Identity,1.0,15.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.01,Sigmoid,Identity,1.0,46.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.01,Sigmoid,Sigmoid,1.0,15.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.01,Sigmoid,Sigmoid,1.0,46.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
