epochs,learning_rate,momentum,output function,hidden function,nb hidden layers,nb neurons,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
100,0.001,0.01,Identity,,,,0.4821,0.4792,0.4573,0.4472,0.4369,0.4306,0.4222,0.4096,0.4054,0.4012,0.43717000000000006,0.0007621660999999997,0.4246,0.4474,0.4449,0.4503,0.4549,0.4606,0.4677,0.4689,0.4723,0.4784,0.45699999999999996,0.000229874
100,0.001,0.01,Sigmoid,,,,0.1399,0.1875,0.2073,0.2277,0.2405,0.2485,0.2534,0.2623,0.2655,0.2696,0.23022,0.0015316116000000002,0.1101,0.1523,0.1703,0.1848,0.1985,0.2081,0.2176,0.2288,0.2362,0.2439,0.19505999999999998,0.0015671104000000002
100,0.001,0.1,Identity,,,,0.4821,0.4777,0.4573,0.4464,0.4369,0.4301,0.4222,0.4092,0.4051,0.4012,0.43682,0.0007529375999999995,0.4246,0.4467,0.4446,0.4496,0.4545,0.46,0.4674,0.4681,0.4719,0.4781,0.45655,0.00022761850000000027
100,0.001,0.1,Sigmoid,,,,0.1399,0.1875,0.2073,0.2277,0.2405,0.2485,0.2534,0.2623,0.2655,0.2696,0.23022,0.0015316116000000002,0.1101,0.1523,0.1703,0.1848,0.1985,0.2081,0.2176,0.2288,0.2362,0.2439,0.19505999999999998,0.0015671104000000002
100,0.001,0.3,Identity,,,,0.4821,0.4777,0.4563,0.4464,0.4369,0.4301,0.4222,0.4096,0.4054,0.4012,0.43679000000000007,0.0007448528999999997,0.4246,0.4467,0.4444,0.4495,0.4545,0.4599,0.4673,0.4683,0.472,0.4781,0.45653000000000005,0.0002287301000000001
100,0.001,0.3,Sigmoid,,,,0.1399,0.1875,0.2073,0.2277,0.2405,0.2485,0.2534,0.2623,0.2655,0.2696,0.23022,0.0015316116000000002,0.1101,0.1523,0.1703,0.1848,0.1985,0.2081,0.2176,0.2288,0.2362,0.2439,0.19505999999999998,0.0015671104000000002
100,0.075,0.01,Identity,,,,0.4435,0.436,0.4296,0.4189,0.4185,0.4142,0.4099,0.4062,0.3981,0.3893,0.41642,0.0002523896000000001,0.372,0.3857,0.3956,0.4032,0.4138,0.4228,0.4317,0.4376,0.441,0.4442,0.41475999999999996,0.0005603083999999997
100,0.075,0.01,Sigmoid,,,,0.1399,0.1875,0.2073,0.2277,0.2405,0.2485,0.2534,0.2623,0.2655,0.2696,0.23022,0.0015316116000000002,0.1101,0.1523,0.1703,0.1848,0.1985,0.2081,0.2176,0.2288,0.2362,0.2439,0.19505999999999998,0.0015671104000000002
100,0.075,0.1,Identity,,,,0.4435,0.436,0.4296,0.4189,0.4185,0.4142,0.4099,0.4062,0.3981,0.3893,0.41642,0.0002523896000000001,0.372,0.3857,0.3956,0.4032,0.4138,0.4228,0.4317,0.4376,0.441,0.4442,0.41475999999999996,0.0005603083999999997
100,0.075,0.1,Sigmoid,,,,0.1399,0.1875,0.2073,0.2277,0.2405,0.2485,0.2534,0.2623,0.2655,0.2696,0.23022,0.0015316116000000002,0.1101,0.1523,0.1703,0.1848,0.1985,0.2081,0.2176,0.2288,0.2362,0.2439,0.19505999999999998,0.0015671104000000002
