epochs,learning_rate,Opti_method,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
1500,0.001,NDCG@10,0.383,0.3543,0.3362,0.3255,0.3119,0.2897,0.2705,0.2561,0.2392,0.2249,0.29913,0.0024172421000000005,0.3305,0.3466,0.3749,0.3995,0.4204,0.4332,0.4406,0.4141,0.1891,0.1935,0.35424,0.007785892399999999
1500,0.001,P@5,0.3702,0.3447,0.334,0.3213,0.3055,0.2869,0.2684,0.2513,0.2352,0.2253,0.29428,0.0021559875999999996,0.322,0.3339,0.3667,0.3922,0.4106,0.4256,0.4312,0.4053,0.1819,0.1895,0.3458900000000001,0.007599112900000001
1500,0.001,P@10,0.3915,0.3596,0.3348,0.3229,0.3081,0.2901,0.2711,0.254,0.2383,0.2243,0.29947,0.0026309260999999996,0.3376,0.355,0.3775,0.4042,0.4211,0.4372,0.4446,0.4162,0.1892,0.1942,0.35768,0.007940375599999999
1500,0.001,ERR@10,0.3723,0.3479,0.3348,0.3229,0.3094,0.2897,0.2693,0.2545,0.2374,0.224,0.29622000000000004,0.0022016216,0.3213,0.342,0.3711,0.3965,0.4162,0.431,0.4375,0.4114,0.1854,0.1912,0.35035999999999995,0.007817410399999999
1500,1e-05,NDCG@5,0.3809,0.3532,0.3312,0.3197,0.306,0.2879,0.2693,0.2545,0.2395,0.2249,0.29671,0.0023123749000000006,0.3255,0.3422,0.3664,0.3923,0.4109,0.4276,0.4334,0.4077,0.1867,0.1916,0.34843,0.007446756099999998
1500,1e-05,NDCG@10,0.366,0.3489,0.3319,0.3218,0.306,0.2872,0.2672,0.2524,0.2371,0.2243,0.29428,0.0021141215999999994,0.3121,0.3394,0.3638,0.3915,0.4119,0.4261,0.4329,0.4062,0.1848,0.1908,0.34595,0.007558678500000001
1500,1e-05,P@5,0.3766,0.35,0.3291,0.3213,0.3051,0.2865,0.2705,0.2537,0.2362,0.2234,0.29524,0.0022601683999999996,0.3298,0.3465,0.3669,0.395,0.4142,0.4286,0.4377,0.4091,0.1846,0.1901,0.35025,0.0077139145
1500,1e-05,P@10,0.3936,0.3532,0.3298,0.3255,0.3085,0.2897,0.2702,0.2553,0.239,0.226,0.29908,0.0025382496000000004,0.3397,0.3473,0.3662,0.3956,0.415,0.4306,0.4372,0.411,0.1879,0.1933,0.35237999999999997,0.007527603599999999
1500,1e-05,ERR@10,0.3851,0.3553,0.3348,0.3255,0.3081,0.2926,0.2729,0.2559,0.2397,0.2257,0.29955999999999994,0.0024115623999999996,0.3312,0.3491,0.3735,0.4,0.4193,0.4371,0.4432,0.4155,0.1914,0.1961,0.35564,0.0077292964
2000,0.001,NDCG@5,0.3851,0.3521,0.3355,0.3213,0.3089,0.2904,0.2705,0.2543,0.2383,0.226,0.29824,0.0024052384,0.334,0.3472,0.374,0.3989,0.4171,0.4334,0.4406,0.4129,0.1887,0.1941,0.35409,0.0077009009
2000,0.001,NDCG@10,0.3766,0.3511,0.3326,0.3218,0.3068,0.2858,0.2681,0.2521,0.2381,0.2243,0.29573,0.0022956441,0.3255,0.3422,0.3687,0.3953,0.4147,0.4276,0.4354,0.4074,0.184,0.1892,0.34900000000000003,0.0077261280000000005
2000,0.001,P@5,0.3745,0.3521,0.3312,0.3239,0.3064,0.2897,0.2687,0.2524,0.2374,0.2251,0.29613999999999996,0.0022581584000000007,0.3248,0.3436,0.3673,0.3954,0.4137,0.4298,0.4355,0.4097,0.1857,0.1913,0.34968,0.007651567600000001
2000,0.001,P@10,0.383,0.366,0.3397,0.3271,0.3094,0.2901,0.2723,0.2559,0.2385,0.2255,0.30074999999999996,0.0025780845,0.3248,0.3621,0.3822,0.4059,0.4239,0.439,0.4478,0.4194,0.1929,0.1993,0.35973,0.0079150681
2000,0.001,ERR@10,0.3809,0.3511,0.3326,0.3223,0.3081,0.2883,0.2693,0.2537,0.2376,0.2249,0.29688,0.002344117600000001,0.3298,0.3402,0.367,0.3943,0.4142,0.4282,0.4354,0.4086,0.1854,0.1914,0.34945,0.007596366500000002
2000,1e-05,NDCG@5,0.3809,0.3553,0.3355,0.325,0.3123,0.2922,0.2717,0.2559,0.24,0.2264,0.29952000000000006,0.002346063600000001,0.3255,0.3417,0.3696,0.3965,0.416,0.4305,0.437,0.4104,0.1873,0.192,0.35065,0.007670002499999999
2000,1e-05,NDCG@10,0.3787,0.3521,0.334,0.3218,0.3077,0.2901,0.272,0.2559,0.2395,0.2255,0.29773,0.0022584420999999994,0.3234,0.3415,0.3689,0.3947,0.4138,0.4305,0.4378,0.4101,0.188,0.1925,0.35012000000000004,0.0076056756
2000,1e-05,P@5,0.3787,0.3532,0.3291,0.3261,0.3081,0.2894,0.2699,0.2521,0.2371,0.2249,0.29685999999999996,0.0023428164000000003,0.3319,0.3488,0.3676,0.3984,0.4177,0.4317,0.4384,0.409,0.186,0.1923,0.35217999999999994,0.0077252876
2000,1e-05,P@10,0.3872,0.3606,0.3397,0.3234,0.306,0.2883,0.2711,0.2543,0.239,0.2266,0.29962,0.0025603556,0.3376,0.3511,0.3784,0.4003,0.416,0.435,0.4418,0.4147,0.1922,0.1976,0.35647,0.007539394100000001
2000,1e-05,ERR@10,0.3766,0.3553,0.3333,0.3255,0.3077,0.2901,0.2702,0.2527,0.2397,0.2255,0.29766,0.0023099004,0.3326,0.347,0.3695,0.3984,0.4147,0.4313,0.4381,0.4086,0.1876,0.1927,0.35205,0.0076100945
