epochs,learning_rate,momentum,output function,hidden function,nb hidden layers,nb neurons,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
100,0.001,0.01,Identity,,,,0.3949,0.3694,0.3439,0.3169,0.3045,0.2919,0.2702,0.2484,0.2335,0.2191,0.29927,0.0030633380999999993,0.3227,0.3519,0.385,0.396,0.4186,0.4356,0.4381,0.4231,0.1616,0.1641,0.34967000000000004,0.0099280721
100,0.001,0.01,Sigmoid,,,,0.2038,0.2357,0.2166,0.2054,0.2,0.1953,0.1929,0.1871,0.1734,0.165,0.19752,0.0003703615999999999,0.1741,0.2378,0.2542,0.2771,0.2958,0.3198,0.3286,0.317,0.0985,0.1032,0.24061,0.006791910899999999
100,0.001,0.1,Identity,,,,0.3949,0.3694,0.3439,0.3169,0.3057,0.2909,0.2702,0.2484,0.2335,0.2191,0.29929,0.0030663109,0.3227,0.3519,0.385,0.396,0.4194,0.435,0.4382,0.4231,0.1616,0.1642,0.34971,0.0099269469
100,0.001,0.1,Sigmoid,,,,0.2038,0.2357,0.2166,0.2054,0.2,0.1953,0.1929,0.1871,0.1734,0.165,0.19752,0.0003703615999999999,0.1741,0.2378,0.2542,0.2771,0.2958,0.3198,0.3286,0.317,0.0985,0.1032,0.24061,0.006791910899999999
100,0.001,0.3,Identity,,,,0.3949,0.3758,0.3439,0.3169,0.3045,0.293,0.2702,0.2484,0.2335,0.2191,0.30002,0.003155137599999999,0.3227,0.3599,0.388,0.3989,0.4216,0.4395,0.4412,0.4238,0.1628,0.1654,0.35237999999999997,0.0100643556
100,0.001,0.3,Sigmoid,,,,0.2038,0.2357,0.2166,0.2054,0.2,0.1953,0.1929,0.1871,0.1734,0.165,0.19752,0.0003703615999999999,0.1741,0.2378,0.2542,0.2771,0.2958,0.3198,0.3286,0.317,0.0985,0.1032,0.24061,0.006791910899999999
100,0.075,0.01,Identity,,,,0.3185,0.3057,0.31,0.285,0.2752,0.2739,0.2566,0.2428,0.2251,0.2115,0.27042999999999995,0.0011849801000000004,0.2505,0.2914,0.3303,0.3442,0.3646,0.3864,0.3911,0.3808,0.1362,0.1404,0.30159,0.0084139229
100,0.075,0.01,Sigmoid,,,,0.2038,0.2357,0.2166,0.2054,0.2,0.1953,0.1929,0.1871,0.1734,0.165,0.19752,0.0003703615999999999,0.1741,0.2378,0.2542,0.2771,0.2958,0.3198,0.3286,0.317,0.0985,0.1032,0.24061,0.006791910899999999
100,0.075,0.1,Identity,,,,0.3185,0.3057,0.31,0.285,0.2752,0.2739,0.2566,0.2428,0.2251,0.2115,0.27042999999999995,0.0011849801000000004,0.2505,0.2914,0.3303,0.3442,0.3646,0.3864,0.3911,0.3808,0.1362,0.1404,0.30159,0.0084139229
100,0.075,0.1,Sigmoid,,,,0.2038,0.2357,0.2166,0.2054,0.2,0.1953,0.1929,0.1871,0.1734,0.165,0.19752,0.0003703615999999999,0.1741,0.2378,0.2542,0.2771,0.2958,0.3198,0.3286,0.317,0.0985,0.1032,0.24061,0.006791910899999999
100,0.075,0.3,Identity,,,,0.3185,0.3057,0.31,0.285,0.2752,0.2739,0.2566,0.2428,0.2251,0.2115,0.27042999999999995,0.0011849801000000004,0.2505,0.2914,0.3303,0.3442,0.3646,0.3864,0.3911,0.3808,0.1362,0.1404,0.30159,0.0084139229
100,0.075,0.3,Sigmoid,,,,0.2038,0.2357,0.2166,0.2054,0.2,0.1953,0.1929,0.1871,0.1734,0.165,0.19752,0.0003703615999999999,0.1741,0.2378,0.2542,0.2771,0.2958,0.3198,0.3286,0.317,0.0985,0.1032,0.24061,0.006791910899999999
500,0.001,0.01,Identity,,,,0.3949,0.3694,0.3397,0.3169,0.307,0.2909,0.2702,0.2484,0.235,0.2197,0.29921,0.0030033329,0.3185,0.3519,0.3803,0.3954,0.4196,0.4344,0.4368,0.4225,0.1628,0.1645,0.3486699999999999,0.009816952100000002
500,0.001,0.01,Sigmoid,,,,0.2038,0.2357,0.2166,0.2054,0.2,0.1953,0.1929,0.1871,0.1734,0.165,0.19752,0.0003703615999999999,0.1741,0.2378,0.2542,0.2771,0.2958,0.3198,0.3286,0.317,0.0985,0.1032,0.24061,0.006791910899999999
500,0.001,0.1,Identity,,,,0.3949,0.3694,0.3397,0.3169,0.307,0.2909,0.2702,0.2484,0.235,0.2197,0.29921,0.0030033329,0.3185,0.3519,0.3803,0.3954,0.4196,0.4344,0.4368,0.4225,0.1628,0.1645,0.3486699999999999,0.009816952100000002
500,0.001,0.1,Sigmoid,,,,0.2038,0.2357,0.2166,0.2054,0.2,0.1953,0.1929,0.1871,0.1734,0.165,0.19752,0.0003703615999999999,0.1741,0.2378,0.2542,0.2771,0.2958,0.3198,0.3286,0.317,0.0985,0.1032,0.24061,0.006791910899999999
500,0.001,0.3,Identity,,,,0.3949,0.3694,0.3397,0.3169,0.307,0.2898,0.2702,0.2484,0.235,0.2197,0.2991,0.0030052699999999996,0.3185,0.3519,0.3803,0.3954,0.4196,0.4338,0.4368,0.4224,0.1628,0.1644,0.34858999999999996,0.009808902900000001
500,0.001,0.3,Sigmoid,,,,0.2038,0.2357,0.2166,0.2054,0.2,0.1953,0.1929,0.1871,0.1734,0.165,0.19752,0.0003703615999999999,0.1741,0.2378,0.2542,0.2771,0.2958,0.3198,0.3286,0.317,0.0985,0.1032,0.24061,0.006791910899999999
