epochs,learning_rate,momentum,output function,hidden function,nb hidden layers,nb neurons,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
100,0.001,0.01,Identity,,,,0.4587199999999999,0.41772,0.39197999999999994,0.36968,0.34811999999999993,0.32602,0.30429999999999996,0.28396000000000005,0.26588,0.25022,0.34165999999999996,0.004192067279999997,0.38845999999999997,0.41196,0.4372,0.45884,0.47826,0.4915999999999999,0.49743999999999994,0.46049999999999996,0.22498,0.22932000000000002,0.40785600000000005,0.009193868543999997
100,0.001,0.01,Sigmoid,,,,0.16452,0.19260000000000002,0.20493999999999998,0.21206,0.21173999999999998,0.21046,0.21192000000000003,0.20742,0.1939,0.18252000000000002,0.199208,0.00022643073599999994,0.13906000000000002,0.18419999999999997,0.21694,0.24707999999999997,0.27116,0.29412,0.31268,0.29312,0.11072,0.11513999999999999,0.21842199999999998,0.005353568756
100,0.001,0.1,Identity,,,,0.45874,0.41791999999999996,0.39239999999999997,0.36968,0.34837999999999997,0.32622000000000007,0.30423999999999995,0.28412000000000004,0.26584,0.25017999999999996,0.34177199999999996,0.004199477935999998,0.38818,0.41200000000000003,0.43742000000000003,0.45888,0.4783799999999999,0.49169999999999997,0.49754,0.46064,0.22522000000000003,0.22949999999999998,0.4079459999999999,0.009188130803999998
100,0.001,0.1,Sigmoid,,,,0.16452,0.19260000000000002,0.20493999999999998,0.21206,0.21173999999999998,0.21046,0.21192000000000003,0.20742,0.1939,0.18252000000000002,0.199208,0.00022643073599999994,0.13906000000000002,0.18419999999999997,0.21694,0.24707999999999997,0.27116,0.29412,0.31268,0.29312,0.11072,0.11513999999999999,0.21842199999999998,0.005353568756
100,0.001,0.3,Identity,,,,0.45831999999999995,0.41791999999999996,0.39211999999999997,0.36957999999999996,0.34803999999999996,0.32608000000000004,0.30435999999999996,0.28412000000000004,0.26582,0.25024,0.34165999999999996,0.004184578559999997,0.38774,0.4119,0.4370200000000001,0.45876,0.47812,0.49146,0.49742,0.4605600000000001,0.2251,0.22936,0.407744,0.009184929584
100,0.001,0.3,Sigmoid,,,,0.16452,0.19260000000000002,0.20493999999999998,0.21206,0.21173999999999998,0.21046,0.21192000000000003,0.20742,0.1939,0.18252000000000002,0.199208,0.00022643073599999994,0.13906000000000002,0.18419999999999997,0.21694,0.24707999999999997,0.27116,0.29412,0.31268,0.29312,0.11072,0.11513999999999999,0.21842199999999998,0.005353568756
100,0.075,0.01,Identity,,,,0.40346000000000004,0.37326,0.35017999999999994,0.33458,0.31716,0.3003,0.28424,0.26732,0.25046,0.23624,0.31172000000000005,0.0026541688799999997,0.34338,0.36712,0.38927999999999996,0.41278,0.43204000000000004,0.44848,0.45776000000000006,0.42598,0.20267999999999997,0.20815999999999998,0.368766,0.007793535604000003
100,0.075,0.01,Sigmoid,,,,0.16452,0.19260000000000002,0.20493999999999998,0.21206,0.21173999999999998,0.21046,0.21192000000000003,0.20742,0.1939,0.18252000000000002,0.199208,0.00022643073599999994,0.13906000000000002,0.18419999999999997,0.21694,0.24707999999999997,0.27116,0.29412,0.31268,0.29312,0.11072,0.11513999999999999,0.21842199999999998,0.005353568756
100,0.075,0.1,Identity,,,,0.4043,0.3769,0.35018000000000005,0.33596,0.32014000000000004,0.30172,0.2843,0.26774,0.25114,0.23647999999999997,0.31288599999999994,0.0027060629640000013,0.34196,0.36712,0.3873,0.41344000000000003,0.43348,0.44930000000000003,0.45748,0.42544000000000004,0.20324,0.20820000000000002,0.368696,0.007799653744
100,0.075,0.1,Sigmoid,,,,0.16452,0.19260000000000002,0.20493999999999998,0.21206,0.21173999999999998,0.21046,0.21192000000000003,0.20742,0.1939,0.18252000000000002,0.199208,0.00022643073599999994,0.13906000000000002,0.18419999999999997,0.21694,0.24707999999999997,0.27116,0.29412,0.31268,0.29312,0.11072,0.11513999999999999,0.21842199999999998,0.005353568756
100,0.075,0.3,Identity,,,,0.40346000000000004,0.37626,0.35187999999999997,0.33542,0.31859999999999994,0.30057999999999996,0.2837,0.26764,0.25048000000000004,0.23601999999999998,0.312404,0.002713190464,0.34365999999999997,0.3679,0.39036000000000004,0.4135400000000001,0.43348,0.44914000000000004,0.45746000000000003,0.42668,0.20348000000000002,0.20854,0.369424,0.007795811504000001
100,0.075,0.3,Sigmoid,,,,0.16452,0.19260000000000002,0.20493999999999998,0.21206,0.21173999999999998,0.21046,0.21192000000000003,0.20742,0.1939,0.18252000000000002,0.199208,0.00022643073599999994,0.13906000000000002,0.18419999999999997,0.21694,0.24707999999999997,0.27116,0.29412,0.31268,0.29312,0.11072,0.11513999999999999,0.21842199999999998,0.005353568756
500,0.001,0.01,Identity,,,,0.45619999999999994,0.41772,0.39198,0.3699,0.34796,0.32593999999999995,0.30439999999999995,0.28422000000000003,0.26596000000000003,0.25036,0.34146400000000005,0.004127440063999998,0.38618,0.41150000000000003,0.43674,0.45876,0.47796000000000005,0.49142,0.4975199999999999,0.46062000000000003,0.22536,0.22970000000000002,0.407576,0.009167338224
500,0.001,0.01,Sigmoid,,,,0.16452,0.19260000000000002,0.20493999999999998,0.21206,0.21173999999999998,0.21046,0.21192000000000003,0.20742,0.1939,0.18252000000000002,0.199208,0.00022643073599999994,0.13906000000000002,0.18419999999999997,0.21694,0.24707999999999997,0.27116,0.29412,0.31268,0.29312,0.11072,0.11513999999999999,0.21842199999999998,0.005353568756
