epochs,learning_rate,Opti_method,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
500,0.001,NDCG@5,0.3846,0.3814,0.3739,0.359,0.3385,0.3152,0.2903,0.2684,0.2521,0.2365,0.31998999999999994,0.0027861929,0.3162,0.3547,0.4007,0.4294,0.4433,0.4626,0.4703,0.4177,0.2041,0.2093,0.37083,0.008722282100000001
500,0.001,NDCG@10,0.4038,0.3942,0.3803,0.3542,0.3359,0.3077,0.2857,0.2684,0.2507,0.2353,0.32162,0.0033527296,0.3312,0.3835,0.4193,0.4363,0.4507,0.4641,0.4737,0.4248,0.2054,0.209,0.3798,0.008969166
500,0.001,P@5,0.3718,0.3814,0.3718,0.3686,0.3487,0.3141,0.2875,0.27,0.2521,0.2365,0.32025,0.002749518500000001,0.312,0.367,0.3986,0.4368,0.4528,0.462,0.4728,0.422,0.2061,0.2105,0.37406000000000006,0.0089383504
500,0.001,P@10,0.3846,0.3974,0.3782,0.3622,0.3474,0.3141,0.2894,0.2692,0.2493,0.2353,0.32270999999999994,0.0031733709,0.3162,0.3985,0.4262,0.4528,0.4713,0.4785,0.4895,0.4358,0.2083,0.2159,0.3893,0.010053359999999999
500,0.001,ERR@10,0.4038,0.391,0.3718,0.3654,0.3462,0.3152,0.2894,0.266,0.2507,0.2372,0.32367,0.003289332100000001,0.3355,0.3819,0.4017,0.4389,0.4583,0.4702,0.4783,0.4249,0.2039,0.2098,0.38034,0.009184788400000001
500,1e-05,NDCG@5,0.391,0.3814,0.3568,0.3462,0.3372,0.3141,0.2885,0.2652,0.2479,0.2353,0.31636000000000003,0.002741758400000001,0.3226,0.3622,0.3957,0.4199,0.4437,0.4601,0.4707,0.4172,0.2019,0.2096,0.37036,0.0085360604
500,1e-05,NDCG@10,0.391,0.3718,0.3568,0.3446,0.3192,0.2938,0.2775,0.2612,0.2472,0.2314,0.30944999999999995,0.002767118500000001,0.3269,0.3632,0.3845,0.4165,0.4276,0.4392,0.4534,0.4042,0.1949,0.1998,0.36102,0.0079329596
500,1e-05,P@5,0.3974,0.359,0.3632,0.3574,0.35,0.312,0.2894,0.2668,0.25,0.2365,0.31816999999999995,0.0027346121,0.3333,0.352,0.3893,0.4204,0.451,0.455,0.4659,0.4119,0.2029,0.2085,0.36902,0.008331701600000001
500,1e-05,P@10,0.4038,0.375,0.3611,0.3542,0.3385,0.3045,0.2821,0.2644,0.2472,0.234,0.31648,0.003058849599999999,0.3226,0.3686,0.3921,0.4225,0.4406,0.452,0.4614,0.4121,0.1942,0.1988,0.36649,0.008741998899999999
500,1e-05,ERR@10,0.391,0.3622,0.3547,0.3526,0.3423,0.3098,0.2857,0.2652,0.2507,0.2346,0.31488,0.002570305600000001,0.3269,0.3536,0.3764,0.4104,0.435,0.4462,0.4567,0.4076,0.1999,0.2027,0.36154000000000003,0.0078969364
1000,0.001,NDCG@5,0.3974,0.3814,0.3761,0.3622,0.3436,0.3162,0.2894,0.2684,0.25,0.2372,0.32219000000000003,0.0030566969,0.3248,0.3649,0.4082,0.4275,0.4471,0.4619,0.47,0.4208,0.2046,0.2129,0.37427,0.0085660441
1000,0.001,NDCG@10,0.3846,0.3846,0.3718,0.3606,0.3449,0.3162,0.2903,0.2668,0.2521,0.2353,0.32072,0.0028804016,0.3248,0.3707,0.4064,0.432,0.454,0.4681,0.4749,0.419,0.2059,0.2082,0.3764,0.008999556
1000,0.001,P@5,0.391,0.3846,0.3611,0.3542,0.3462,0.3109,0.2875,0.2676,0.2514,0.2359,0.31904,0.0028413824,0.3226,0.3611,0.3935,0.4222,0.4492,0.459,0.4678,0.4128,0.2042,0.2082,0.37006000000000006,0.008486222400000002
1000,0.001,P@10,0.391,0.3814,0.3675,0.3622,0.3397,0.313,0.2857,0.2684,0.25,0.2365,0.31954,0.0028994324,0.3141,0.3547,0.3933,0.428,0.4443,0.4581,0.4641,0.414,0.202,0.2081,0.36807,0.008573706099999998
1000,0.001,ERR@10,0.3846,0.3878,0.3761,0.3606,0.3449,0.3141,0.2866,0.2684,0.2514,0.2359,0.32103999999999994,0.0029766463999999987,0.3162,0.3675,0.4054,0.4354,0.4563,0.4666,0.474,0.4217,0.2076,0.212,0.37627,0.0089643781
1000,1e-05,NDCG@5,0.3654,0.3878,0.3761,0.3638,0.3462,0.3098,0.2875,0.2668,0.2486,0.2359,0.31879,0.0028556748999999998,0.2842,0.3686,0.409,0.4391,0.4556,0.4624,0.4741,0.4216,0.2112,0.2174,0.37432,0.0091341476
1000,1e-05,NDCG@10,0.391,0.3942,0.3739,0.3558,0.3423,0.3141,0.2866,0.2676,0.2521,0.2378,0.32154,0.0030470443999999998,0.3141,0.3766,0.4123,0.4369,0.4589,0.4681,0.4772,0.4252,0.211,0.216,0.37963,0.008956860100000002
1000,1e-05,P@5,0.4038,0.375,0.3697,0.3574,0.3449,0.3141,0.2885,0.2652,0.2493,0.2333,0.32011999999999996,0.0031081635999999995,0.344,0.3707,0.4086,0.4329,0.4588,0.4683,0.4748,0.4219,0.2096,0.2134,0.38029999999999997,0.008653866
1000,1e-05,P@10,0.4103,0.375,0.359,0.3622,0.3462,0.3162,0.2866,0.2668,0.2486,0.2359,0.32067999999999997,0.0031293756000000004,0.3462,0.3584,0.3862,0.424,0.4451,0.4589,0.4627,0.4101,0.1997,0.2043,0.36956,0.0084080604
1000,1e-05,ERR@10,0.3718,0.3686,0.3568,0.3558,0.3449,0.313,0.2885,0.2684,0.2536,0.2378,0.31592,0.0023004235999999996,0.3034,0.3472,0.3712,0.4136,0.4397,0.4503,0.4558,0.405,0.198,0.2023,0.35865,0.008316968499999999
1500,0.001,NDCG@5,0.4038,0.391,0.3739,0.3622,0.3436,0.3098,0.2857,0.2644,0.2486,0.2346,0.32176,0.0034038484000000003,0.3355,0.3798,0.4092,0.4396,0.4591,0.4661,0.4758,0.4214,0.2045,0.2075,0.37984999999999997,0.009150298500000001
1500,0.001,NDCG@10,0.3974,0.3782,0.3761,0.3606,0.3462,0.3162,0.2875,0.2676,0.2528,0.2378,0.32204,0.0029907523999999986,0.3291,0.3584,0.4051,0.4291,0.4504,0.4647,0.4712,0.4188,0.205,0.2103,0.37421000000000004,0.0087139169
