epochs,learning_rate,Opti_method,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
1000,0.001,NDCG@5,0.4056,0.3803,0.3601,0.34650000000000003,0.33062,0.31136,0.29082,0.27328,0.25632,0.24230000000000002,0.31972,0.0026587023200000002,0.3438,0.3725,0.40088,0.42678000000000005,0.44878,0.46382,0.47075999999999996,0.43785999999999997,0.207,0.21280000000000002,0.378498,0.008519495076
1000,0.001,NDCG@10,0.40474,0.37861999999999996,0.35940000000000005,0.3454400000000001,0.33155999999999997,0.31136,0.29152,0.27426,0.25684,0.24181999999999998,0.31955600000000006,0.0026027593440000004,0.34068,0.37028000000000005,0.39814000000000005,0.42484,0.44767999999999997,0.46268000000000004,0.471,0.43810000000000004,0.20751999999999998,0.21256,0.37734799999999996,0.008476857376000003
1000,0.001,P@5,0.40858,0.38539999999999996,0.36112,0.34672,0.33025999999999994,0.31052,0.2911,0.27412000000000003,0.25662,0.24162,0.32060600000000006,0.0027820488039999986,0.34592,0.38078,0.40309999999999996,0.42984,0.45088,0.46534000000000003,0.4732799999999999,0.44082,0.21028000000000002,0.21504000000000004,0.38152800000000003,0.008488014335999997
1000,0.001,P@10,0.40306,0.37838000000000005,0.359,0.34416,0.32926,0.31022,0.29032,0.27332,0.25549999999999995,0.24109999999999995,0.318432,0.002601408816000001,0.33952,0.3728,0.39677999999999997,0.4229,0.44648000000000004,0.46114,0.46914,0.43658,0.20662000000000003,0.21172000000000005,0.376368,0.008420984335999998
1000,0.001,ERR@10,0.40644,0.382,0.35854,0.34352000000000005,0.3276,0.3091,0.28996,0.27216,0.25568,0.24011999999999997,0.318512,0.0027217768160000015,0.34550000000000003,0.3771,0.40044,0.42383999999999994,0.44588,0.46166,0.47043999999999997,0.43748,0.20808,0.21261999999999998,0.37830400000000003,0.008357405984
1000,1e-05,NDCG@5,0.41752,0.39137999999999995,0.36706000000000005,0.35022000000000003,0.33266,0.31378,0.29300000000000004,0.27526,0.25728,0.24232,0.324048,0.0030466896159999993,0.35344,0.38568,0.40856000000000003,0.43220000000000003,0.45352,0.47004,0.47669999999999996,0.44342000000000004,0.21111999999999997,0.21592000000000003,0.38505999999999996,0.008635025280000002
1000,1e-05,NDCG@10,0.40902000000000005,0.38391999999999993,0.36195999999999995,0.34595999999999993,0.3311,0.31365999999999994,0.29146,0.27427999999999997,0.25656,0.24104,0.320896,0.0027764432639999998,0.34778,0.37918,0.403,0.42782,0.45022,0.46638,0.47240000000000004,0.44064000000000003,0.20944000000000002,0.2133,0.38101599999999997,0.008533115664000002
1000,1e-05,P@5,0.4056,0.38436000000000003,0.36282000000000003,0.34674,0.33087999999999995,0.31098,0.29064,0.27359999999999995,0.25616,0.24211999999999997,0.32039000000000006,0.0027372173000000015,0.34408,0.37932000000000005,0.40520000000000006,0.42784000000000005,0.44878,0.46488000000000007,0.47207999999999994,0.43948,0.20796,0.21288,0.38025,0.008569254500000002
1000,1e-05,P@10,0.40813999999999995,0.38583999999999996,0.36026,0.34588,0.3319,0.31226000000000004,0.2902,0.27296,0.25559999999999994,0.24078,0.320382,0.0028118235559999997,0.3458,0.37878,0.39972,0.42750000000000005,0.45006,0.46438000000000007,0.47092,0.43806,0.20828000000000002,0.21309999999999998,0.37966,0.008482426720000002
1000,1e-05,ERR@10,0.40902000000000005,0.38458000000000003,0.36138000000000003,0.34575999999999996,0.3285,0.30924,0.28942,0.27111999999999997,0.25408,0.23982,0.319292,0.0028752703360000018,0.3492,0.37824,0.40271999999999997,0.42674,0.44711999999999996,0.46231999999999995,0.46959999999999996,0.4359400000000001,0.20579999999999998,0.21108,0.378876,0.008495865664
1500,0.001,NDCG@5,0.39882,0.37879999999999997,0.35956,0.34556,0.32958,0.31063999999999997,0.29100000000000004,0.27321999999999996,0.25636000000000003,0.2415,0.318504,0.0025287013439999994,0.33643999999999996,0.3698,0.39879999999999993,0.42418000000000006,0.4464,0.46163999999999994,0.47007999999999994,0.43698000000000004,0.20754,0.21231999999999998,0.37641800000000003,0.008447272916
1500,0.001,NDCG@10,0.41496000000000005,0.38798000000000005,0.36564,0.34608,0.33120000000000005,0.31198000000000004,0.29213999999999996,0.27464000000000005,0.25711999999999996,0.24214000000000002,0.32238799999999995,0.0029384376160000013,0.35404,0.38201999999999997,0.4074400000000001,0.42988,0.45152000000000003,0.46751999999999994,0.47509999999999997,0.44168,0.21086,0.21542,0.38354799999999994,0.008511129615999998
1500,0.001,P@5,0.40645999999999993,0.38244,0.3621,0.34746,0.3306,0.31279999999999997,0.29198,0.27304000000000006,0.25614,0.2431,0.320612,0.0027043072959999984,0.34578000000000003,0.3759799999999999,0.40302000000000004,0.42866,0.44963999999999993,0.4661199999999999,0.47287999999999997,0.43979999999999997,0.20764,0.21348000000000003,0.3803,0.008598998319999995
