epochs,learning_rate,Opti_method,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
1000,0.001,NDCG@10,0.42214,0.38456,0.36184000000000005,0.34538,0.32755999999999996,0.30846,0.2879,0.27232,0.25564,0.24169999999999997,0.32075,0.0030756895400000017,0.36178,0.38327999999999995,0.40682,0.429,0.44952000000000003,0.46509999999999996,0.47198,0.4398000000000001,0.21088,0.2157,0.383386,0.008305585443999999
1000,0.001,P@5,0.42468000000000006,0.38839999999999997,0.3597,0.34504,0.32833999999999997,0.30720000000000003,0.28896,0.27344,0.25648,0.24245999999999998,0.32147,0.003122989780000001,0.36346,0.3854,0.40556000000000003,0.42824,0.44906000000000007,0.46441999999999994,0.4718400000000001,0.44016,0.20998,0.21508,0.38332,0.008322815680000002
1000,0.001,P@10,0.4196,0.38073999999999997,0.36182,0.34984000000000004,0.33036000000000004,0.31056,0.29100000000000004,0.27484000000000003,0.25708000000000003,0.24234,0.32181800000000005,0.0029282665159999985,0.36006,0.37126000000000003,0.40094,0.42813999999999997,0.44661999999999996,0.46202,0.46952,0.43820000000000003,0.20826000000000003,0.21356000000000003,0.37985800000000003,0.008299320915999997
1000,0.001,ERR@10,0.41703999999999997,0.38966,0.36526000000000003,0.3479,0.33011999999999997,0.3090800000000001,0.28900000000000003,0.27121999999999996,0.25524,0.24104,0.321556,0.0031062631839999994,0.34986000000000006,0.38114,0.40686,0.43294000000000005,0.45176,0.46564000000000005,0.47273999999999994,0.43804,0.21080000000000002,0.2162,0.38259800000000005,0.008427846275999998
1000,1e-05,NDCG@5,0.40556000000000003,0.39093999999999995,0.37073999999999996,0.35206000000000004,0.33446000000000004,0.31334,0.28969999999999996,0.27342,0.2551,0.2412,0.32265200000000005,0.0029647740960000004,0.34008,0.38126000000000004,0.4096,0.43356000000000006,0.45424,0.46871999999999997,0.4744999999999999,0.44320000000000004,0.21276,0.2177,0.38356199999999996,0.008583096275999999
1000,1e-05,NDCG@10,0.40434000000000003,0.38838,0.36438000000000004,0.35078000000000004,0.33446000000000004,0.31375999999999993,0.29208,0.27406,0.25748000000000004,0.24208,0.32218,0.0027776844800000006,0.34306000000000003,0.37936000000000003,0.40446,0.4305,0.45246000000000003,0.46804000000000007,0.47426,0.4408200000000001,0.21166000000000001,0.21631999999999998,0.38209400000000004,0.008518467764000002
1000,1e-05,P@5,0.40431999999999996,0.37564000000000003,0.36354,0.34597999999999995,0.33038,0.30996,0.29081999999999997,0.27198,0.25524,0.24042,0.318828,0.002665540095999999,0.34482,0.37138,0.40506000000000003,0.42766000000000004,0.45038,0.46399999999999997,0.47084000000000004,0.43834,0.21139999999999998,0.21656,0.380044,0.008301479584000002
1000,1e-05,P@10,0.41708000000000006,0.382,0.36182,0.34824,0.33087999999999995,0.31164,0.29114000000000007,0.27294,0.25637999999999994,0.24208,0.32142,0.0029149610400000013,0.35416,0.37634,0.40142,0.42956000000000005,0.45081999999999994,0.46532,0.47162000000000004,0.43892,0.20936000000000005,0.21460000000000004,0.381212,0.008421735695999997
1000,1e-05,ERR@10,0.41320000000000007,0.37751999999999997,0.36478,0.34696000000000005,0.32784,0.30952,0.28975999999999996,0.27152,0.25524,0.24106,0.31974,0.0028587649600000016,0.35026,0.37084,0.40244,0.42691999999999997,0.44604,0.46086,0.46792,0.43546000000000007,0.20518,0.21071999999999996,0.37766400000000006,0.008454195424000003
1500,0.001,NDCG@5,0.41578,0.38392000000000004,0.3597,0.34154,0.32604,0.30867999999999995,0.28772000000000003,0.27248,0.2548,0.2413,0.319196,0.002920267504,0.35628000000000004,0.3817,0.40488,0.4271400000000001,0.44745999999999997,0.4640000000000001,0.47122,0.43926,0.20784000000000002,0.2132,0.38129799999999997,0.008429086756000001
1500,0.001,NDCG@10,0.42598,0.39093999999999995,0.3707599999999999,0.34824,0.33268,0.31185999999999997,0.29118,0.27408,0.25651999999999997,0.24258000000000002,0.324482,0.0032627283559999998,0.3639,0.38494,0.41242,0.433,0.45418000000000003,0.46806000000000003,0.47558,0.44426,0.21276,0.21854,0.386764,0.008424682224
1500,0.001,P@5,0.4171,0.38971999999999996,0.36356,0.34759999999999996,0.33116,0.31038,0.28884,0.27264,0.25482,0.24146,0.32172799999999996,0.0030766631359999998,0.35584,0.38576,0.40856000000000003,0.43152,0.45118,0.46740000000000004,0.47343999999999997,0.44201999999999997,0.21105999999999997,0.21647999999999995,0.38432599999999995,0.008446210484000002
1500,0.001,P@10,0.42341999999999996,0.38522,0.36097999999999997,0.34474,0.32858,0.3095,0.2888,0.27215999999999996,0.25538,0.24032,0.32091,0.003120311059999999,0.36644,0.38167999999999996,0.40488,0.42691999999999997,0.44688,0.46197999999999995,0.4702,0.43842,0.20808,0.21234000000000003,0.38178199999999995,0.008338439475999998
1500,0.001,ERR@10,0.4183,0.38646,0.36693999999999993,0.35047999999999996,0.32986,0.31335999999999997,0.29009999999999997,0.27326,0.25724,0.24068,0.322668,0.0030591460159999995,0.36046,0.38004000000000004,0.40946,0.43354,0.4514,0.46806000000000003,0.47378,0.44210000000000005,0.21086,0.21461999999999998,0.384432,0.008538231616000001
1500,1e-05,NDCG@5,0.41196,0.38074,0.361,0.34824,0.3327,0.31357999999999997,0.29116,0.27344,0.25666,0.24274,0.321222,0.002779270276,0.34818,0.37412000000000006,0.40268,0.43079999999999996,0.45212,0.4668,0.47296000000000005,0.44062,0.21108,0.21688000000000002,0.381624,0.008430971664
1500,1e-05,NDCG@10,0.41326,0.38328,0.36608,0.3492,0.32806,0.31013999999999997,0.2899,0.27264,0.25568,0.24068,0.320892,0.0029409723360000004,0.35032,0.38076,0.4105,0.43387999999999993,0.4502999999999999,0.46774000000000004,0.47404,0.44208,0.20998,0.21466,0.38342600000000004,0.008617937124
1500,1e-05,P@5,0.40302,0.382,0.36566,0.34886,0.33216,0.31272,0.29046,0.27374,0.25694,0.24222000000000002,0.32077799999999995,0.0026887757959999994,0.3435,0.37692000000000003,0.40696000000000004,0.43106,0.45097999999999994,0.46495999999999993,0.47196,0.44024,0.21123999999999996,0.21608,0.38139,0.008434794579999998
1500,1e-05,P@10,0.41706000000000004,0.38899999999999996,0.36648,0.34825999999999996,0.33292,0.31334,0.29008,0.27327999999999997,0.25554,0.24106,0.322702,0.0030743515560000003,0.35328,0.38805999999999996,0.41246,0.43472,0.45729999999999993,0.47250000000000003,0.47696000000000005,0.44432,0.21162,0.21626000000000004,0.386748,0.008760395295999998
1500,1e-05,ERR@10,0.41966000000000003,0.38839999999999997,0.36436,0.3476,0.33166,0.31100000000000005,0.29078000000000004,0.27168000000000003,0.25592000000000004,0.24158,0.322264,0.0030950517439999993,0.35585999999999995,0.3817,0.4043,0.4300800000000001,0.45150000000000007,0.46634000000000003,0.47456,0.44036,0.20981999999999998,0.21471999999999997,0.382924,0.008502910784000003
2000,0.001,NDCG@5,0.41196,0.38902000000000003,0.3644,0.34696,0.32882,0.31164,0.28972000000000003,0.27328,0.2561,0.24169999999999997,0.32136,0.0029361526400000005,0.35326,0.38378,0.4095000000000001,0.43298,0.45131999999999994,0.4687,0.47459999999999997,0.44261999999999996,0.21020000000000003,0.21532,0.38422799999999996,0.008600388575999996
2000,0.001,NDCG@10,0.42088000000000003,0.3865,0.35884,0.3406,0.32704,0.30995999999999996,0.28808,0.2712,0.25522,0.24234,0.320066,0.0030310100040000006,0.36222000000000004,0.38849999999999996,0.40838,0.43006,0.45192,0.46776,0.47353999999999996,0.44096,0.20831999999999998,0.21484,0.38465,0.00855755866
2000,0.001,P@5,0.41703999999999997,0.38966,0.36012,0.34346,0.3286,0.31082,0.28662,0.27105999999999997,0.25494000000000006,0.2412,0.320352,0.0030537848159999993,0.35242,0.38561999999999996,0.40456000000000003,0.4267,0.44993999999999995,0.4663399999999999,0.4710000000000001,0.43874,0.20928,0.21513999999999997,0.38197400000000004,0.008393908244000001
2000,0.001,P@10,0.42214,0.38645999999999997,0.36014,0.34634,0.32758,0.31208,0.2888,0.2728,0.25549999999999995,0.24158,0.321342,0.0030767925960000003,0.36003999999999997,0.38180000000000003,0.4037,0.4298,0.44862,0.46679999999999994,0.47248,0.44084,0.20892,0.21487999999999996,0.382788,0.008439562336
2000,0.001,ERR@10,0.40813999999999995,0.38712,0.3631,0.3473,0.33116,0.31248,0.28865999999999997,0.27312000000000003,0.25594,0.24196,0.320898,0.0028423541159999987,0.34944000000000003,0.38178,0.40752,0.42956000000000005,0.45237999999999995,0.46807999999999994,0.47192,0.4409599999999999,0.20895999999999998,0.21516000000000002,0.382576,0.008567353423999998
2000,1e-05,NDCG@5,0.41198000000000007,0.3852,0.36738,0.34792000000000006,0.33368000000000003,0.31334,0.29062,0.27309999999999995,0.25622,0.24106,0.32205000000000006,0.0029287430600000016,0.35248,0.38361999999999996,0.41050000000000003,0.4314,0.4548,0.46898,0.47539999999999993,0.44264000000000003,0.209,0.21412,0.384294,0.008745286484000001
2000,1e-05,NDCG@10,0.42596000000000006,0.39476000000000006,0.36268,0.35046000000000005,0.33138000000000006,0.31356,0.29151999999999995,0.27168,0.25468,0.24067999999999995,0.32373599999999997,0.0033301671840000034,0.36304000000000003,0.39397999999999994,0.41214000000000006,0.4384,0.45748000000000005,0.47444,0.48168,0.44748,0.21254,0.21656,0.38977399999999995,0.008854123283999999
2000,1e-05,P@5,0.40684,0.38776,0.36268,0.34663999999999995,0.32986000000000004,0.31122,0.2884399999999999,0.27312,0.2551,0.24144000000000002,0.32031,0.0028414673799999996,0.34564000000000006,0.38361999999999996,0.40914,0.4333,0.45355999999999996,0.46676,0.47300000000000003,0.4421799999999999,0.2111,0.21632,0.38346199999999997,0.008553596515999998
2000,1e-05,P@10,0.41323999999999994,0.37946,0.35844000000000004,0.34375999999999995,0.32886000000000004,0.30866,0.28936,0.27325999999999995,0.25608,0.24156,0.319268,0.0027835134560000004,0.35112,0.37412,0.40114,0.4243,0.44711999999999996,0.46226,0.47006000000000003,0.43785999999999997,0.209,0.21420000000000003,0.37911799999999996,0.008273126435999999
2000,1e-05,ERR@10,0.41958,0.39348,0.3665,0.34982,0.33140000000000003,0.31355999999999995,0.29118,0.27408,0.25637999999999994,0.24106,0.32370400000000005,0.0031619473440000017,0.35324,0.39166,0.41318,0.43732,0.45687999999999995,0.4726000000000001,0.4782,0.44694,0.21186,0.21656,0.38784399999999997,0.008821645584
