epochs,learning_rate,momentum,output function,hidden function,nb hidden layers,nb neurons,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
100,0.001,0.01,Identity,,,,0.4723,0.4426,0.4241,0.3931,0.3702,0.3433,0.321,0.2995,0.2799,0.2645,0.36105,0.004572788499999999,0.3986,0.431,0.4661,0.4822,0.5014,0.514,0.5224,0.4759,0.2382,0.2442,0.4274,0.009905481999999998
100,0.001,0.01,Sigmoid,,,,0.1638,0.1862,0.2113,0.225,0.2251,0.2227,0.2246,0.2191,0.2052,0.1934,0.20764,0.0003855744,0.1355,0.173,0.2141,0.2495,0.2777,0.3007,0.3223,0.2929,0.1159,0.1211,0.22027000000000002,0.0056493081
100,0.001,0.1,Identity,,,,0.4745,0.4404,0.4241,0.3931,0.3706,0.3436,0.321,0.2995,0.2797,0.2643,0.36107999999999996,0.004593631599999999,0.3993,0.4278,0.4647,0.481,0.5005,0.5129,0.5213,0.4748,0.2383,0.2439,0.42645,0.009819388499999998
100,0.001,0.1,Sigmoid,,,,0.1638,0.1862,0.2113,0.225,0.2251,0.2227,0.2246,0.2191,0.2052,0.1934,0.20764,0.0003855744,0.1355,0.173,0.2141,0.2495,0.2777,0.3007,0.3223,0.2929,0.1159,0.1211,0.22027000000000002,0.0056493081
100,0.001,0.3,Identity,,,,0.4745,0.4404,0.4234,0.3931,0.3702,0.3433,0.321,0.2995,0.2801,0.2647,0.36102,0.004570945599999999,0.3993,0.4278,0.464,0.4809,0.5001,0.5127,0.5212,0.4748,0.2388,0.2441,0.4263700000000001,0.0097756401
100,0.001,0.3,Sigmoid,,,,0.1638,0.1862,0.2113,0.225,0.2251,0.2227,0.2246,0.2191,0.2052,0.1934,0.20764,0.0003855744,0.1355,0.173,0.2141,0.2495,0.2777,0.3007,0.3223,0.2929,0.1159,0.1211,0.22027000000000002,0.0056493081
100,0.075,0.01,Identity,,,,0.4277,0.4096,0.3858,0.3665,0.343,0.3216,0.3036,0.2843,0.2667,0.2521,0.33609,0.003305676900000001,0.3582,0.3949,0.422,0.4452,0.4624,0.4766,0.4874,0.4426,0.2153,0.2201,0.39247,0.0089426221
100,0.075,0.01,Sigmoid,,,,0.1638,0.1862,0.2113,0.225,0.2251,0.2227,0.2246,0.2191,0.2052,0.1934,0.20764,0.0003855744,0.1355,0.173,0.2141,0.2495,0.2777,0.3007,0.3223,0.2929,0.1159,0.1211,0.22027000000000002,0.0056493081
100,0.075,0.1,Identity,,,,0.4277,0.4096,0.3858,0.3665,0.343,0.3216,0.3036,0.2843,0.2667,0.2521,0.33609,0.003305676900000001,0.3582,0.3949,0.422,0.4452,0.4624,0.4766,0.4874,0.4426,0.2153,0.2201,0.39247,0.0089426221
100,0.075,0.1,Sigmoid,,,,0.1638,0.1862,0.2113,0.225,0.2251,0.2227,0.2246,0.2191,0.2052,0.1934,0.20764,0.0003855744,0.1355,0.173,0.2141,0.2495,0.2777,0.3007,0.3223,0.2929,0.1159,0.1211,0.22027000000000002,0.0056493081
100,0.075,0.3,Identity,,,,0.4277,0.4096,0.3858,0.3665,0.343,0.3216,0.3036,0.2843,0.2667,0.2521,0.33609,0.003305676900000001,0.3582,0.3949,0.422,0.4452,0.4624,0.4766,0.4874,0.4426,0.2153,0.2201,0.39247,0.0089426221
100,0.075,0.3,Sigmoid,,,,0.1638,0.1862,0.2113,0.225,0.2251,0.2227,0.2246,0.2191,0.2052,0.1934,0.20764,0.0003855744,0.1355,0.173,0.2141,0.2495,0.2777,0.3007,0.3223,0.2929,0.1159,0.1211,0.22027000000000002,0.0056493081
500,0.001,0.01,Identity,,,,0.4723,0.4415,0.4241,0.3936,0.3715,0.3422,0.3207,0.2992,0.2797,0.2645,0.36093000000000003,0.0045741220999999995,0.3986,0.4268,0.4647,0.4813,0.5013,0.5123,0.5215,0.4746,0.2386,0.2438,0.42634999999999995,0.0098221545
500,0.001,0.01,Sigmoid,,,,0.1638,0.1862,0.2113,0.225,0.2251,0.2227,0.2246,0.2191,0.2052,0.1934,0.20764,0.0003855744,0.1355,0.173,0.2141,0.2495,0.2777,0.3007,0.3223,0.2929,0.1159,0.1211,0.22027000000000002,0.0056493081
500,0.001,0.1,Identity,,,,0.4723,0.4415,0.4241,0.3936,0.3715,0.3422,0.3207,0.2992,0.2797,0.2647,0.36095,0.0045702684999999995,0.3986,0.4268,0.4647,0.4813,0.5013,0.5123,0.5215,0.4746,0.2386,0.2439,0.42635999999999996,0.009818504399999999
500,0.001,0.1,Sigmoid,,,,0.1638,0.1862,0.2113,0.225,0.2251,0.2227,0.2246,0.2191,0.2052,0.1934,0.20764,0.0003855744,0.1355,0.173,0.2141,0.2495,0.2777,0.3007,0.3223,0.2929,0.1159,0.1211,0.22027000000000002,0.0056493081
500,0.001,0.3,Identity,,,,0.4723,0.4415,0.4241,0.3936,0.3711,0.3422,0.3207,0.2992,0.2797,0.2647,0.36091,0.004569438899999999,0.3986,0.4268,0.4647,0.4813,0.5011,0.5123,0.5215,0.4745,0.2386,0.2438,0.42632000000000003,0.0098181956
500,0.001,0.3,Sigmoid,,,,0.1638,0.1862,0.2113,0.225,0.2251,0.2227,0.2246,0.2191,0.2052,0.1934,0.20764,0.0003855744,0.1355,0.173,0.2141,0.2495,0.2777,0.3007,0.3223,0.2929,0.1159,0.1211,0.22027000000000002,0.0056493081
500,0.075,0.01,Identity,,,,0.4277,0.4096,0.3858,0.3665,0.343,0.3216,0.3036,0.2843,0.2667,0.2521,0.33609,0.003305676900000001,0.3582,0.3949,0.422,0.4452,0.4624,0.4766,0.4874,0.4426,0.2153,0.2201,0.39247,0.0089426221
