epochs,learning_rate,Opti_method,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
500,0.001,NDCG@5,0.4076,0.3376,0.3036,0.2882,0.2764,0.2675,0.2502,0.2396,0.2243,0.2127,0.28077,0.0030538981000000002,0.3567,0.3493,0.3588,0.3739,0.3897,0.4114,0.4161,0.4023,0.1455,0.1497,0.33534,0.0092935764
500,0.001,NDCG@10,0.4076,0.3344,0.3036,0.2866,0.2764,0.2665,0.2493,0.2396,0.2251,0.2121,0.28012,0.0030235776,0.3567,0.3482,0.3595,0.3736,0.3904,0.4112,0.416,0.4027,0.1454,0.1493,0.3353,0.009318698
500,0.001,P@5,0.4076,0.3376,0.3036,0.2882,0.2764,0.2675,0.2511,0.2396,0.2243,0.2121,0.28080000000000005,0.0030566800000000004,0.3567,0.3493,0.3588,0.3739,0.3897,0.4114,0.4163,0.4023,0.1453,0.1493,0.3353,0.009319273999999999
500,0.001,P@10,0.4076,0.3376,0.3036,0.2866,0.2764,0.2665,0.2502,0.2404,0.2251,0.2121,0.28060999999999997,0.0030472149000000002,0.3567,0.3493,0.3598,0.3738,0.3906,0.4114,0.4164,0.4028,0.1456,0.1495,0.33559,0.0093226109
500,0.001,ERR@10,0.4076,0.3376,0.3015,0.2866,0.2764,0.2665,0.2493,0.2404,0.2243,0.2127,0.28029,0.0030442129000000004,0.3567,0.3493,0.3583,0.3735,0.3903,0.4111,0.4159,0.4028,0.1457,0.1499,0.33535000000000004,0.0092786745
500,1e-05,NDCG@5,0.3758,0.3312,0.3163,0.301,0.2892,0.276,0.2611,0.2412,0.2258,0.214,0.28315999999999997,0.0022714844000000004,0.3163,0.3317,0.3529,0.3758,0.4014,0.4145,0.4214,0.406,0.1517,0.1555,0.33272,0.009134795599999999
500,1e-05,NDCG@10,0.4204,0.3344,0.3291,0.3169,0.3019,0.2856,0.2639,0.2492,0.2328,0.2146,0.29488,0.003245361599999999,0.3439,0.3344,0.3592,0.3843,0.4016,0.4193,0.4232,0.4069,0.1609,0.1612,0.33948999999999996,0.008790224900000001
500,1e-05,P@5,0.3312,0.3408,0.3142,0.293,0.2803,0.2654,0.2484,0.2357,0.2194,0.2089,0.27373,0.0019165460999999995,0.2803,0.3477,0.3634,0.377,0.3948,0.4119,0.4154,0.4003,0.1389,0.145,0.32747,0.0099930041
500,1e-05,P@10,0.3949,0.3535,0.327,0.3057,0.2854,0.2739,0.2539,0.2396,0.2236,0.2146,0.28720999999999997,0.003079176899999999,0.3482,0.3487,0.3689,0.3826,0.3976,0.4169,0.4172,0.4055,0.1464,0.1532,0.33852000000000004,0.0094627656
500,1e-05,ERR@10,0.3503,0.3376,0.31,0.3025,0.2854,0.2739,0.2557,0.2389,0.2229,0.2089,0.27860999999999997,0.0020308469,0.2951,0.327,0.3457,0.3691,0.385,0.407,0.4102,0.3939,0.1417,0.1435,0.32182,0.0092041576
1000,0.001,NDCG@5,0.4076,0.3376,0.3036,0.2866,0.2764,0.2665,0.2493,0.2396,0.2243,0.2127,0.28042,0.0030599916,0.3567,0.3493,0.3598,0.3738,0.3906,0.4114,0.4162,0.4029,0.1457,0.1499,0.33563,0.0093020561
1000,0.001,NDCG@10,0.4076,0.3376,0.3015,0.2866,0.2764,0.2665,0.2502,0.2396,0.2243,0.2127,0.2803,0.003045162000000001,0.3567,0.3493,0.3583,0.3735,0.3903,0.4111,0.4161,0.4026,0.1457,0.1499,0.33535000000000004,0.009279206500000001
