epochs,learning_rate,momemtum,activation,inner_act,number_layers,number_neurons,dropout,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
1000,0.001,0.5,linear,,,,,0.4413,0.40628000000000003,0.38734,0.36386,0.34516,0.32206,0.30047999999999997,0.27964,0.26304,0.24872,0.33578800000000003,0.0037096203360000015,0.36561999999999995,0.395,0.42576,0.44586,0.46802,0.48162000000000005,0.48794000000000004,0.45384,0.22147999999999998,0.22742,0.39725599999999994,0.008747238704000002
1000,0.075,0.3,sigmoid,,,,,0.4566,0.41453999999999996,0.3890600000000001,0.37086,0.34874,0.32758,0.3032,0.2825000000000001,0.26514000000000004,0.24998,0.34082,0.004110302479999999,0.37665999999999994,0.40584,0.42922000000000005,0.45796000000000003,0.47547999999999996,0.49029999999999996,0.49462,0.46004000000000006,0.2254,0.23018,0.40457,0.009031624100000002
1000,0.075,0.3,linear,,,,,0.40942,0.38648,0.36654,0.35144,0.3286,0.30932,0.29226,0.27358000000000005,0.25680000000000003,0.24170000000000003,0.321614,0.0028781398439999984,0.33969999999999995,0.37298,0.39798,0.42610000000000003,0.44046,0.4544,0.46588,0.43204000000000004,0.20508,0.20986000000000002,0.374448,0.008263254736
1000,0.075,0.5,sigmoid,,,,,0.4566,0.4133,0.39158000000000004,0.37054,0.34824,0.32733999999999996,0.30302,0.28266,0.265,0.25,0.340828,0.004116335136,0.37665999999999994,0.40520000000000006,0.43172,0.45810000000000006,0.47556000000000004,0.4907,0.49476,0.45998,0.22522000000000003,0.23002000000000003,0.40479199999999993,0.009067804176
1000,0.075,0.5,linear,,,,,0.38778,0.37692,0.3627,0.33996,0.31892,0.3021,0.28516,0.26658,0.25057999999999997,0.23544,0.312614,0.0025868804840000004,0.31633999999999995,0.3585400000000001,0.38761999999999996,0.40901999999999994,0.42678000000000005,0.44198000000000004,0.45182,0.4180400000000001,0.19483999999999999,0.19926000000000002,0.360424,0.008116737024
300,0.0025,0.5,linear,relu,1,100,0.65,0.43870000000000003,0.41644000000000003,0.39116000000000006,0.37022,0.34618000000000004,0.32376000000000005,0.30102,0.28044,0.26162,0.24656000000000003,0.33761,0.00393014586,0.36644000000000004,0.40687999999999996,0.43145999999999995,0.4545,0.47218,0.48575999999999997,0.49386,0.46049999999999996,0.22191999999999998,0.22641999999999998,0.401992,0.009197109136000001
300,0.0025,0.5,linear,relu,1,100,0.8,0.43107999999999996,0.41391999999999995,0.38434000000000007,0.36480000000000007,0.34514000000000006,0.32267999999999997,0.29845999999999995,0.27774,0.25992000000000004,0.24642,0.33445,0.0037131087399999998,0.35712,0.40591999999999995,0.42729999999999996,0.45226000000000005,0.47302,0.48613999999999996,0.4908200000000001,0.45678,0.21932000000000001,0.22468,0.39933599999999997,0.009295235504000002
300,0.0025,0.5,linear,relu,2,100,0.65,0.44000000000000006,0.41259999999999997,0.38392,0.36546,0.34412,0.32098,0.3003,0.27993999999999997,0.26092,0.24694,0.335518,0.0038122893160000017,0.3601,0.40432000000000007,0.426,0.45198,0.4721,0.48358,0.49132,0.45863999999999994,0.22148000000000004,0.22670000000000004,0.39962200000000003,0.009085146275999998
300,0.0025,0.5,linear,relu,2,100,0.8,0.42722,0.39731999999999995,0.37544000000000005,0.35526,0.33268,0.31462,0.29497999999999996,0.27549999999999997,0.25694,0.24245999999999998,0.327242,0.0034051898760000003,0.35494,0.38912,0.41156,0.43654000000000004,0.45497999999999994,0.46984000000000004,0.47856,0.44576000000000005,0.21276,0.21861999999999998,0.38726800000000006,0.008612014416000003
400,0.0025,0.5,linear,relu,1,100,0.65,0.43620000000000003,0.41196,0.39326000000000005,0.36958,0.34772,0.32292,0.30084,0.27964,0.26234,0.24846000000000004,0.337292,0.003800976016,0.36222000000000004,0.40198,0.43285999999999997,0.45348000000000005,0.47295999999999994,0.48432000000000003,0.4909,0.45599999999999996,0.22080000000000002,0.22632,0.400184,0.009148001663999998
400,0.0025,0.5,linear,relu,1,100,0.8,0.43104000000000003,0.40687999999999996,0.38818,0.36672,0.3444,0.32208000000000003,0.2979,0.27868,0.26176000000000005,0.24857999999999997,0.334622,0.003585941076,0.3588,0.40008,0.42758,0.4521,0.4708399999999999,0.48390000000000005,0.48995999999999995,0.45556,0.2205,0.22668,0.3986,0.009065021599999999
400,0.0025,0.5,linear,relu,2,100,0.65,0.44126000000000004,0.40687999999999996,0.3886,0.36894,0.34642,0.3214,0.29938000000000003,0.279,0.2612,0.24564,0.335872,0.003862701216,0.36473999999999995,0.39571999999999996,0.4265,0.45131999999999994,0.47012,0.4806,0.48782,0.45346000000000003,0.22016,0.22480000000000003,0.397524,0.008955723664
400,0.0025,0.5,linear,relu,2,100,0.8,0.41448,0.38583999999999996,0.36522,0.35236,0.33496000000000004,0.3141999999999999,0.29353999999999997,0.27264,0.25579999999999997,0.24094,0.322998,0.0029836180360000007,0.3439,0.37604,0.4037,0.42918,0.4505,0.46434,0.47136000000000006,0.4378,0.20844000000000001,0.2138,0.37990599999999997,0.008512541444
500,0.0025,0.5,linear,relu,1,100,0.65,0.45022,0.41772,0.39286,0.37150000000000005,0.34642000000000006,0.32442000000000004,0.3012,0.2817,0.26388,0.24822000000000002,0.339814,0.004138103603999999,0.3788,0.40781999999999996,0.43194,0.45640000000000003,0.47224000000000005,0.48612,0.4931,0.45854,0.22416,0.22788,0.4037,0.00898496296
500,0.0025,0.5,linear,relu,1,100,0.8,0.44123999999999997,0.41007999999999994,0.392,0.36863999999999997,0.34514,0.32311999999999996,0.29972,0.27836000000000005,0.26158,0.24694000000000002,0.33668200000000004,0.003911808435999998,0.37074,0.40237999999999996,0.43272000000000005,0.45341999999999993,0.47186000000000006,0.4849200000000001,0.49056,0.45607999999999993,0.22241999999999998,0.22679999999999997,0.40119000000000005,0.009002618820000002
500,0.0025,0.5,linear,relu,2,100,0.65,0.43494,0.41196,0.38732000000000005,0.36957999999999996,0.34492,0.32398,0.30247999999999997,0.28138,0.26164,0.24769999999999998,0.33659,0.003697420420000001,0.36688,0.40312000000000003,0.42962,0.45484,0.47162,0.48522,0.49193999999999993,0.45780000000000004,0.22160000000000002,0.22750000000000004,0.401014,0.009074964323999997
500,0.0025,0.5,linear,relu,2,100,0.8,0.4221399999999999,0.39155999999999996,0.37372,0.35652,0.33546,0.31205999999999995,0.29244,0.27518000000000004,0.25936,0.24438000000000004,0.32628200000000007,0.003184436195999997,0.34898,0.37836,0.40474000000000004,0.43108,0.4505800000000001,0.46390000000000003,0.47075999999999996,0.43961999999999996,0.21274,0.21739999999999998,0.38181600000000004,0.008238052144
600,0.0025,0.5,linear,relu,1,100,0.65,0.43621999999999994,0.4126,0.39242,0.37213999999999997,0.34794,0.3229,0.30101999999999995,0.28091999999999995,0.26304,0.24770000000000003,0.33769,0.003806399539999999,0.36391999999999997,0.40316,0.43246,0.45636,0.47409999999999997,0.48594,0.4922999999999999,0.45859999999999995,0.22405999999999998,0.22864,0.4019539999999999,0.009065254883999996
600,0.0025,0.5,linear,relu,1,100,0.8,0.44383999999999996,0.41392000000000007,0.39498,0.37118,0.34568000000000004,0.32332,0.30213999999999996,0.2806,0.26206000000000007,0.24708000000000002,0.33848,0.004019979519999999,0.37073999999999996,0.40624000000000005,0.4356999999999999,0.45748,0.47504,0.48801999999999995,0.4945399999999999,0.45996000000000004,0.22283999999999998,0.227,0.403756,0.009255865104
600,0.0025,0.5,linear,relu,2,100,0.65,0.44256,0.40881999999999996,0.3886,0.36610000000000004,0.34720000000000006,0.32418,0.30139999999999995,0.27996,0.26176,0.24718,0.3367760000000001,0.0038327898240000007,0.37028000000000005,0.3952,0.42918,0.45044000000000006,0.47096,0.48363999999999996,0.49030000000000007,0.45352000000000003,0.22012,0.22670000000000004,0.399034,0.008973180883999999
600,0.0025,0.5,linear,relu,2,100,0.8,0.40682,0.39028,0.37117999999999995,0.35652,0.33724000000000004,0.3174,0.29517999999999994,0.2744,0.25664,0.24054000000000003,0.32461999999999996,0.00295444008,0.33710000000000007,0.38092,0.4098,0.43732,0.45654000000000006,0.47093999999999997,0.47779999999999995,0.44498,0.21475999999999998,0.21799999999999997,0.38481600000000005,0.008724689344
