epochs,learning_rate,momentum,output function,hidden function,nb hidden layers,nb neurons,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
100,0.001,0.01,Identity,,,,0.4191,0.3809,0.3553,0.341,0.3247,0.3085,0.2869,0.2676,0.2492,0.2323,0.31655,0.0031797325,0.3624,0.3807,0.3968,0.4221,0.4424,0.4591,0.465,0.4328,0.2052,0.208,0.37745,0.008260232500000003
100,0.001,0.01,Sigmoid,,,,0.1574,0.1872,0.1972,0.2021,0.2034,0.2011,0.2006,0.1952,0.1835,0.173,0.19007000000000002,0.00020422209999999998,0.1362,0.1855,0.2124,0.2417,0.2648,0.2868,0.3029,0.2844,0.102,0.1061,0.21228000000000002,0.0052531616
100,0.001,0.1,Identity,,,,0.4191,0.3819,0.356,0.3404,0.3247,0.3085,0.2869,0.2676,0.2492,0.2323,0.31666,0.0031952663999999993,0.3624,0.3821,0.3971,0.4221,0.4428,0.4595,0.4654,0.4332,0.2055,0.2083,0.37783999999999995,0.0082650964
100,0.001,0.1,Sigmoid,,,,0.1574,0.1872,0.1972,0.2021,0.2034,0.2011,0.2006,0.1952,0.1835,0.173,0.19007000000000002,0.00020422209999999998,0.1362,0.1855,0.2124,0.2417,0.2648,0.2868,0.3029,0.2844,0.102,0.1061,0.21228000000000002,0.0052531616
100,0.001,0.3,Identity,,,,0.4191,0.383,0.356,0.3404,0.3243,0.3085,0.2869,0.2676,0.2492,0.2323,0.31673,0.003209108099999999,0.3624,0.3826,0.3974,0.4223,0.4427,0.4597,0.4656,0.4334,0.2051,0.208,0.37792000000000003,0.0083001616
100,0.001,0.3,Sigmoid,,,,0.1574,0.1872,0.1972,0.2021,0.2034,0.2011,0.2006,0.1952,0.1835,0.173,0.19007000000000002,0.00020422209999999998,0.1362,0.1855,0.2124,0.2417,0.2648,0.2868,0.3029,0.2844,0.102,0.1061,0.21228000000000002,0.0052531616
100,0.075,0.01,Identity,,,,0.3915,0.3649,0.344,0.3271,0.3072,0.2929,0.2739,0.2556,0.239,0.2255,0.30216,0.0027234084000000006,0.3433,0.3656,0.3869,0.4093,0.4253,0.4432,0.4522,0.424,0.1956,0.2012,0.36466000000000004,0.007927516400000001
100,0.075,0.01,Sigmoid,,,,0.1574,0.1872,0.1972,0.2021,0.2034,0.2011,0.2006,0.1952,0.1835,0.173,0.19007000000000002,0.00020422209999999998,0.1362,0.1855,0.2124,0.2417,0.2648,0.2868,0.3029,0.2844,0.102,0.1061,0.21228000000000002,0.0052531616
100,0.075,0.1,Identity,,,,0.3915,0.3702,0.3383,0.3287,0.3174,0.2975,0.2766,0.258,0.2428,0.2285,0.30494999999999994,0.0026350505,0.3376,0.3681,0.3814,0.4092,0.4312,0.4459,0.4518,0.4216,0.1961,0.2018,0.36446999999999996,0.0079806661
100,0.075,0.1,Sigmoid,,,,0.1574,0.1872,0.1972,0.2021,0.2034,0.2011,0.2006,0.1952,0.1835,0.173,0.19007000000000002,0.00020422209999999998,0.1362,0.1855,0.2124,0.2417,0.2648,0.2868,0.3029,0.2844,0.102,0.1061,0.21228000000000002,0.0052531616
100,0.075,0.3,Identity,,,,0.3915,0.3649,0.344,0.3271,0.3072,0.2929,0.2739,0.2556,0.239,0.2255,0.30216,0.0027234084000000006,0.3433,0.3656,0.3869,0.4093,0.4253,0.4432,0.4522,0.424,0.1956,0.2012,0.36466000000000004,0.007927516400000001
100,0.075,0.3,Sigmoid,,,,0.1574,0.1872,0.1972,0.2021,0.2034,0.2011,0.2006,0.1952,0.1835,0.173,0.19007000000000002,0.00020422209999999998,0.1362,0.1855,0.2124,0.2417,0.2648,0.2868,0.3029,0.2844,0.102,0.1061,0.21228000000000002,0.0052531616
500,0.001,0.01,Identity,,,,0.4128,0.3798,0.3546,0.341,0.3226,0.3096,0.2875,0.267,0.2489,0.2326,0.31564000000000003,0.0030310084000000005,0.3546,0.38,0.3958,0.4205,0.44,0.4595,0.4648,0.4325,0.2048,0.208,0.37605,0.0082525605
